,Unnamed: 0,firm,kiscode,kiscode_tf
28,28,신성장동력그린퓨처사모투자전문회사,F03603,16003603
29,29,에너지인프라자산운용(주),HV5156,1803405156
30,30,오딘2(유),H31280,18031280
31,31,오딘제10차(유),JA4243,2101104243
32,32,오딘제7차(유),IQ2521,1902802521
33,33,오딘제9차(유),IW4465,1903504465
34,34,롯데케이디비미래에셋대우글로벌투자파트너쉽사모투자(자),CD1625,1301401625
35,35,미래에셋대우오퍼튜너티사모투자(자),M12729,24012729
36,36,코에프씨미래에셋그로쓰챔프2010의4호사모투자전문회,F39284,16039284
37,37,미래에셋모바일(주),HS7136,1803107136
0,0,(주)대우건설,158130,158130
1,1,대우송도호텔(주),688866,688866
2,2,(주)대우에스티,373004,373004
3,3,한국인프라관리(주),F24550,16024550
4,4,포천민자발전(주),J23524,21023524
5,5,대우파워(주),HH4913,1801804913
6,6,천마산터널(주),H27041,18027041
7,7,(주)창원혁신산단개발자산관리,HM8096,1802408096
8,8,부곡환경(주),377397,377397
9,9,(주)푸르웰,H31284,18031284
10,10,강화조력발전(주),F12987,16012987
11,11,평성인더스트리아자산관리(주),HL5822,1802305822
12,12,풍무역세권개발자산관리(주),IQ2139,1902802139
13,13,푸르지오서비스(주),141678,141678
0,0,동국제강(주),370070,370070
1,1,인터지스(주),720275,720275
2,2,동국시스템즈(주),830798,830798
3,3,인터지스중앙부두(주),720550,720550
4,4,(주)페럼인프라,C98084,13098084
5,5,인터지스웅동센터(주),H79413,18079413
6,6,당진고대부두운영(주),H33300,18033300
7,7,인터지스신항센터(주),C68776,13068776
8,8,가온에스티(주),F15126,16015126
9,9,제이비당진페럼빌전문투자형사모투자(유),HT9817,1803209817
10,10,(주)제주로해운물류,IL6985,1902306985
0,0,두산중공업(주),382647,382647
1,1,(주)두산,310425,310425
2,2,두산인프라코어(주),152018,152018
3,3,두산밥캣(주),L74201,23074201
4,4,(주)오리콤,820024,820024
5,5,(주)신한벤처투자,IT9021,1903209021
6,6,두산건설(주),360171,360171
7,7,두산큐벡스(주),480952,480952
8,8,네오트랜스(주),388949,388949
9,9,두산메카텍(주),HQ7187,1802807187
10,10,두산로보틱스(주),HH7744,1801807744
11,11,(주)한컴,820628,820628
12,12,(주)두산베어스,990159,990159
13,13,두산밥캣코리아(주),HD4472,1801404472
14,14,(주)두산모빌리티이노베이션,IG0390,1901700390
15,15,두산경영연구원(주),HN5387,1802505387
16,16,디비씨(주),IQ5569,1902805569
17,17,(주)두산에이치에프컨트롤스아시아,HH9279,1801809279
18,18,네오플럭스제3호사모투자(자),JC5421,2101305421
19,19,오성파워오엔엠(주),JA0025,2101100025
20,20,케이티씨엔피그로쓰챔프2011의2호사모투자전문회사,I66564,19066564
21,21,(자)네오플럭스제1호사모투자전문회사,C43316,13043316
22,22,밸류웍스(주),IR7128,1902907128
0,0,(주)태영건설,501662,501662
1,1,(주)SBS,910856,910856
2,2,SBS미디어홀딩스(주),C07096,13007096
3,3,(주)에스비에스콘텐츠허브,116059,116059
4,4,(주)티에스케이워터,JH3819,2101803819
5,5,(주)에스비에스에이앤티,126820,126820
6,6,(주)티에스케이코퍼레이션,388578,388578
7,7,(주)블루원,M15921,24015921
8,8,(주)티에스케이엔지니어링,386383,386383
9,9,(주)에스비에스미디어넷,165071,165071
10,10,(주)디엠씨미디어,234475,234475
11,11,(주)태영인더스트리,356662,356662
12,12,(주)에스비에스엠앤씨,H77700,18077700
13,13,(주)인제스피디움,C87253,13087253
14,14,(주)에스비에스아이앤엠,IS8996,1903108996
15,15,에코시스템(주),164139,164139
16,16,콘텐츠웨이브(주),I09023,19009023
17,17,(주)티에스케이그린에너지,H82150,18082150
18,18,(주)태영그레인터미널,469330,469330
19,19,(주)에스비에스네오파트너스,IS8995,1903108995
20,20,(주)티에스케이이앤피,J05181,21005181
21,21,스마트미디어렙(주),L85463,23085463
22,22,(주)에코시티,388500,388500
23,23,(주)유니시티,G52720,17052720
24,24,(주)센트로,HN1560,1802501560
25,25,(주)에코시티개발,HD6740,1801406740
26,26,(주)엠시에타개발,467131,467131
27,27,(주)이너시티개발,IO4817,1902604817
