,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,동일인과의 관계3
0,비금융회사,㈜케이티,동일인측,비영리법인,케이티그룹희망나눔재단,16668,0.01%,-,-,16668,0.01%,비영리법인
1,비금융회사,㈜케이티,동일인측,등기된 임원,구현모,18239,0.01%,-,-,18239,0.01%,등기된 임원
2,비금융회사,㈜케이티,동일인측,등기된 임원,김대유,471,0.00%,-,-,471,0.00%,등기된 임원
3,비금융회사,㈜케이티,동일인측,등기된 임원,박윤영,6947,0.00%,-,-,6947,0.00%,등기된 임원
4,비금융회사,㈜케이티,동일인측,등기된 임원,박종욱,7695,0.00%,-,-,7695,0.00%,등기된 임원
5,비금융회사,㈜케이티,동일인측,등기된 임원,이강철,471,0.00%,-,-,471,0.00%,등기된 임원
6,비금융회사,㈜케이티,동일인측,등기된 임원,표현명,10684,0.01%,-,-,10684,0.01%,등기된 임원
7,비금융회사,㈜케이티,동일인측,자기주식,㈜케이티,15870258,6.08%,-,-,15870258,6.08%,자기주식
8,비금융회사,㈜케이티,동일인측,동일인 측 합계,동일인 측 합계,15931433,6.10%,-,-,15931433,6.10%,동일인 측 합계
9,비금융회사,㈜케이티,기타주주,동일인 측이 아닌 최다주주,국민연금공단,36228773,13.87%,-,-,36228773,13.87%,동일인 측이 아닌 최다주주
10,비금융회사,㈜케이티,기타주주,기타,기타,208951602,80.02%,-,-,208951602,80.02%,기타
11,비금융회사,㈜케이티,총 계,총 계,총 계,261111808,100.00%,-,-,261111808,100.00%,총 계
12,비금융회사,㈜나스미디어,동일인측,동일인,㈜케이티,3742406,42.75%,-,-,3742406,42.75%,동일인
13,비금융회사,㈜나스미디어,동일인측,등기된 임원,정기호,1474236,16.84%,-,-,1474236,16.84%,등기된 임원
14,비금융회사,㈜나스미디어,동일인측,자기주식,㈜나스미디어,252500,2.88%,-,-,252500,2.88%,자기주식
15,비금융회사,㈜나스미디어,동일인측,동일인 측 합계,동일인 측 합계,5469142,62.47%,-,-,5469142,62.47%,동일인 측 합계
16,비금융회사,㈜나스미디어,기타주주,기타,기타,3285549,37.53%,-,-,3285549,37.53%,기타
17,비금융회사,㈜나스미디어,총 계,총 계,총 계,8754691,100.00%,-,-,8754691,100.00%,총 계
18,비금융회사,㈜케이티넥스알,동일인측,계열회사,㈜케이티디에스,4080000,100.00%,66667,100.00%,4146667,100.00%,계열회사
19,비금융회사,㈜케이티넥스알,동일인측,동일인 측 합계,동일인 측 합계,4080000,100.00%,66667,100.00%,4146667,100.00%,동일인 측 합계
20,비금융회사,㈜케이티넥스알,기타주주,기타,기타,-,-,-,-,-,-,기타
21,비금융회사,㈜케이티넥스알,총계,총계,총계,4080000,100.00%,66667,100.00%,4146667,100.00%,총계
22,비금융회사,㈜케이티이엔지코어,동일인측,동일인,㈜케이티,1400000,59.83%,-,-,1400000,59.83%,동일인
23,비금융회사,㈜케이티이엔지코어,동일인측,계열회사,㈜케이티에스테이트,940000,40.17%,-,-,940000,40.17%,계열회사
24,비금융회사,㈜케이티이엔지코어,동일인측,동일인 측 합계,동일인 측 합계,2340000,100.00%,-,-,2340000,100.00%,동일인 측 합계
25,비금융회사,㈜케이티이엔지코어,기타주주,기타,기타,-,-,-,-,-,-,기타
26,비금융회사,㈜케이티이엔지코어,총계,총계,총계,2340000,100.00%,-,-,2340000,100.00%,총계
27,비금융회사,㈜케이티디에스,동일인측,동일인,㈜케이티,2400000,95.31%,-,-,2400000,91.05%,동일인
28,비금융회사,㈜케이티디에스,동일인측,등기된 임원,우정민,213,0.01%,197,0.17%,410,0.02%,등기된 임원
29,비금융회사,㈜케이티디에스,동일인측,자기주식,㈜케이티디에스,4260,0.17%,4682,3.98%,8942,0.34%,자기주식
30,비금융회사,㈜케이티디에스,동일인측,동일인 측 합계,동일인 측 합계,2404473,95.49%,4879,4.14%,2409352,91.41%,동일인 측 합계
31,비금융회사,㈜케이티디에스,기타주주,기타,기타,113571,4.51%,112874,95.86%,226445,8.59%,기타
32,비금융회사,㈜케이티디에스,총계,총계,총계,2518044,100.00%,117753,100%,2635797,100.00%,총계
33,비금융회사,㈜지니뮤직,동일인측,동일인,㈜케이티,20904514,35.97%,-,-,20904514,35.97%,동일인
34,비금융회사,㈜지니뮤직,동일인측,자기주식,㈜지니뮤직,368478,0.63%,-,-,368478,0.63%,자기주식
35,비금융회사,㈜지니뮤직,동일인측,동일인 측 합계,동일인 측 합계,21272992,36.60%,-,-,21272992,36.60%,동일인 측 합계
36,비금융회사,㈜지니뮤직,기타주주,기타,기타,36842446,63.40%,-,-,36842446,63.40%,기타
37,비금융회사,㈜지니뮤직,총계,총계,총계,58115438,100.00%,-,-,58115438,100.00%,총계
38,비금융회사,㈜케이티서브마린,동일인측,동일인,㈜케이티,8085000,36.92%,-,-,8085000,36.92%,동일인
39,비금융회사,㈜케이티서브마린,동일인측,자기주식,㈜케이티서브마린,1345875,6.15%,-,-,1345875,6.15%,자기주식
40,비금융회사,㈜케이티서브마린,동일인측,동일인측 합계,동일인측 합계,9430875,43.06%,-,-,9430875,43.06%,동일인측 합계
41,비금융회사,㈜케이티서브마린,기타주주,기타,기타,12469125,56.94%,-,-,12469125,56.94%,기타
42,비금융회사,㈜케이티서브마린,총계,총계,총계,21900000,100.00%,-,-,21900000,100.00%,총계
43,비금융회사,㈜케이티아이에스,동일인측,동일인,㈜케이티,10196190,29.30%,-,-,10196190,29.30%,동일인
44,비금융회사,㈜케이티아이에스,동일인측,등기된 임원,이응호,30360,0.09%,-,-,30360,0.09%,등기된 임원
45,비금융회사,㈜케이티아이에스,동일인측,등기된 임원,조이준,3000,0.01%,-,-,3000,0.01%,등기된 임원
46,비금융회사,㈜케이티아이에스,동일인측,자기주식,㈜케이티아이에스,975460,2.80%,-,-,975460,2.80%,자기주식
47,비금융회사,㈜케이티아이에스,동일인측,동일인 측 합계,동일인 측 합계,11205010,32.20%,-,-,11205010,32.20%,동일인 측 합계
48,비금융회사,㈜케이티아이에스,기타주주,기타,기타,23596990,67.80%,-,-,23596990,67.80%,기타
49,비금융회사,㈜케이티아이에스,총계,총계,총계,34802000,100.00%,-,-,34802000,100.00%,총계
50,비금융회사,㈜케이티스카이라이프,동일인측,동일인,㈜케이티,23908000,49.99%,-,-,23908000,49.99%,동일인
51,비금융회사,㈜케이티스카이라이프,동일인측,등기된 임원,김진국,1500,0.00%,-,-,1500,0.00%,등기된 임원
52,비금융회사,㈜케이티스카이라이프,동일인측,자기주식,㈜케이티스카이라이프,258613,0.54%,-,-,258613,0.54%,자기주식
53,비금융회사,㈜케이티스카이라이프,동일인측,동일인 측 합계,동일인 측 합계,24168113,50.54%,-,-,24168113,50.54%,동일인 측 합계
54,비금융회사,㈜케이티스카이라이프,기타주주,기타,기타,23653853,49.46%,-,-,23653853,49.46%,기타
55,비금융회사,㈜케이티스카이라이프,총계,총계,총계,47821966,100.00%,-,-,47821966,100.00%,총계
56,비금융회사,㈜케이티씨에스,동일인측,동일인,㈜케이티,3177426,7.44%,-,-,3177426,7.44%,동일인
57,비금융회사,㈜케이티씨에스,동일인측,등기된 임원,양승규,20000,0.05%,-,-,20000,0.05%,등기된 임원
58,비금융회사,㈜케이티씨에스,동일인측,등기된 임원,유태흥,10400,0.02%,-,-,10400,0.02%,등기된 임원
59,비금융회사,㈜케이티씨에스,동일인측,자기주식,㈜케이티씨에스,872000,2.04%,-,-,872000,2.04%,자기주식
60,비금융회사,㈜케이티씨에스,동일인측,계열회사,㈜케이티아이에스,4954704,11.61%,-,-,4954704,11.61%,계열회사
61,비금융회사,㈜케이티씨에스,동일인측,계열회사,케이티하이텔㈜,4800000,11.25%,-,-,4800000,11.25%,계열회사
62,비금융회사,㈜케이티씨에스,동일인측,동일인측 합계,동일인측 합계,13834530,32.41%,-,-,13834530,32.41%,동일인측 합계
63,비금융회사,㈜케이티씨에스,기타주주,기타,기타,28850470,67.59%,-,-,28850470,67.59%,기타
64,비금융회사,㈜케이티씨에스,총 계,총 계,총 계,42685000,100.00%,-,-,42685000,100.00%,총 계
65,비금융회사,㈜케이티에스테이트,동일인측,동일인,㈜케이티,15848819,100.00%,-,-,15848819,100.00%,동일인
66,비금융회사,㈜케이티에스테이트,동일인측,동일인 측 합계,동일인 측 합계,15848819,100.00%,-,-,15848819,100.00%,동일인 측 합계
67,비금융회사,㈜케이티에스테이트,기타주주,기타,기타,-,-,-,-,-,-,기타
68,비금융회사,㈜케이티에스테이트,총계,총계,총계,15848819,100.00%,-,-,15848819,100.00%,총계
69,비금융회사,㈜케이티엠앤에스,동일인측,동일인,㈜케이티,47400000,100.00%,-,-,47400000,100.00%,동일인
70,비금융회사,㈜케이티엠앤에스,동일인측,동일인 측 합계,동일인 측 합계,47400000,100.00%,-,-,47400000,100.00%,동일인 측 합계
71,비금융회사,㈜케이티엠앤에스,기타주주,기타,기타,-,-,-,-,-,-,기타
72,비금융회사,㈜케이티엠앤에스,총계,총계,총계,47400000,100.00%,-,-,47400000,100.00%,총계
73,비금융회사,㈜케이티엠하우스 ※1),동일인측,동일인,㈜케이티,760000,76.00%,-,-,760000,76.00%,동일인
74,비금융회사,㈜케이티엠하우스 ※1),동일인측,등기된 임원,민태기,10000,1.00%,-,-,10000,1.00%,등기된 임원
75,비금융회사,㈜케이티엠하우스 ※1),동일인측,계열회사,KT전략투자조합2호업무집행조합원 (㈜케이티인베스트먼트),140000,14.00%,-,-,140000,14.00%,계열회사
76,비금융회사,㈜케이티엠하우스 ※1),동일인측,동일인 측 합계,동일인 측 합계,910000,91.00%,-,-,910000,91.00%,동일인 측 합계
77,비금융회사,㈜케이티엠하우스 ※1),기타주주,기타,기타,90000,9.00%,-,-,90000,9.00%,기타
78,비금융회사,㈜케이티엠하우스 ※1),총계,총계,총계,1000000,100.00%,-,-,1000000,100.00%,총계
79,비금융회사,케이티링커스㈜,동일인측,동일인,㈜케이티,3075232,87.30%,-,-,3075232,87.30%,동일인
80,비금융회사,케이티링커스㈜,동일인측,계열회사,㈜케이티서비스남부,83292,2.36%,-,-,83292,2.36%,계열회사
81,비금융회사,케이티링커스㈜,동일인측,계열회사,㈜케이티서비스북부,62496,1.77%,-,-,62496,1.77%,계열회사
82,비금융회사,케이티링커스㈜,동일인측,계열회사,㈜케이티엠오에스남부,33952,0.96%,-,-,33952,0.96%,계열회사
83,비금융회사,케이티링커스㈜,동일인측,동일인 측 합계,동일인 측 합계,3254972,92.41%,-,-,3254972,92.41%,동일인 측 합계
84,비금융회사,케이티링커스㈜,기타주주,기타,기타,267500,7.59%,-,-,267500,7.59%,기타
85,비금융회사,케이티링커스㈜,총계,총계,총계,3522472,100.00%,-,-,3522472,100.00%,총계
86,비금융회사,케이티커머스㈜,동일인측,동일인,㈜케이티,266000,19.00%,-,-,266000,19.00%,동일인
87,비금융회사,케이티커머스㈜,동일인측,계열회사,㈜케이티씨에스,1134000,81.00%,-,-,1134000,81.00%,계열회사
88,비금융회사,케이티커머스㈜,동일인측,동일인 측 합계,동일인 측 합계,1400000,100.00%,-,-,1400000,100.00%,동일인 측 합계
89,비금융회사,케이티커머스㈜,기타주주,기타,기타,-,-,-,-,-,-,기타
90,비금융회사,케이티커머스㈜,총계,총계,총계,1400000,100.00%,-,-,1400000,100.00%,총계
91,비금융회사,케이티텔레캅㈜,동일인측,동일인,㈜케이티,5765911,86.82%,495163,100.00%,6261074,87.73%,동일인
92,비금융회사,케이티텔레캅㈜,동일인측,동일인 측 합계,동일인 측 합계,5765911,86.82%,495163,100.00%,6261074,87.73%,동일인 측 합계
93,비금융회사,케이티텔레캅㈜,기타주주,기타,기타,875442,13.18%,-,-,875442,12.27%,기타
94,비금융회사,케이티텔레캅㈜,총계,총계,총계,6641353,100.00%,495163,100.00%,7136516,100.00%,총계
95,비금융회사,케이티파워텔㈜,동일인측,동일인,㈜케이티,7771418,44.85%,-,-,7771418,44.85%,동일인
96,비금융회사,케이티파워텔㈜,동일인측,등기된 임원,김봉균,100,0.00%,-,-,100,0.00%,등기된 임원
97,비금융회사,케이티파워텔㈜,동일인측,등기된 임원,최규철,95,0.00%,-,-,95,0.00%,등기된 임원
98,비금융회사,케이티파워텔㈜,동일인측,동일인 측 합계,동일인 측 합계,7771613,44.85%,-,-,7771613,44.85%,동일인 측 합계
99,비금융회사,케이티파워텔㈜,기타주주,기타,기타,9557819,55.15%,-,-,9557819,55.15%,기타
100,비금융회사,케이티파워텔㈜,총계,총계,총계,17329432,100.00%,-,-,17329432,100.00%,총계
101,비금융회사,케이티하이텔㈜,동일인측,동일인,(주)케이티,22750000,63.70%,-,-,22750000,63.70%,동일인
102,비금융회사,케이티하이텔㈜,동일인측,계열회사,(주)케이티아이에스,1215022,3.40%,-,-,1215022,3.40%,계열회사
103,비금융회사,케이티하이텔㈜,동일인측,등기된 임원,김태환,10200,0.03%,-,-,10200,0.03%,등기된 임원
104,비금융회사,케이티하이텔㈜,동일인측,등기된 임원,한영도,1000,0.00%,-,-,1000,0.00%,등기된 임원
105,비금융회사,케이티하이텔㈜,동일인측,동일인 측 합계,동일인 측 합계,23976222,67.13%,-,-,23976222,67.13%,동일인 측 합계
106,비금융회사,케이티하이텔㈜,기타주주,기타,기타,11738800,32.87%,-,-,11738800,32.87%,기타
107,비금융회사,케이티하이텔㈜,총 계,총 계,총 계,35715022,100.00%,-,-,35715022,100.00%,총 계
108,비금융회사,㈜스카이라이프티브이,동일인측,동일인,㈜케이티,6000000,14.85%,-,-,6000000,14.85%,동일인
109,비금융회사,㈜스카이라이프티브이,동일인측,계열회사,㈜케이티스카이라이프,31410000,77.73%,-,-,31410000,77.73%,계열회사
110,비금융회사,㈜스카이라이프티브이,동일인측,동일인 측 합계,동일인 측 합계,37410000,92.58%,-,-,37410000,92.58%,동일인 측 합계
111,비금융회사,㈜스카이라이프티브이,기타주주,기타,기타,3000000,7.42%,-,-,3000000,7.42%,기타
112,비금융회사,㈜스카이라이프티브이,총계,총계,총계,40410000,100.00%,-,-,40410000,100.00%,총계
113,비금융회사,㈜에이치엔씨네트워크,동일인측,동일인,㈜케이티,8903,1.00%,-,-,8903,1.00%,동일인
114,비금융회사,㈜에이치엔씨네트워크,동일인측,계열회사,비씨카드㈜,880747,99.00%,-,-,880747,99.00%,계열회사
115,비금융회사,㈜에이치엔씨네트워크,동일인측,동일인 측 합계,동일인 측 합계,889650,100.00%,-,-,889650,100.00%,동일인 측 합계
116,비금융회사,㈜에이치엔씨네트워크,기타주주,기타,기타,-,-,-,-,-,-,기타
117,비금융회사,㈜에이치엔씨네트워크,총계,총계,총계,889650,100.00%,-,-,889650,100.00%,총계
118,비금융회사,이니텍㈜,동일인측,계열회사,㈜에이치엔씨네트워크,11280069,57.00%,-,-,11280069,57.00%,계열회사
119,비금융회사,이니텍㈜,동일인측,자기주식,이니텍㈜,399280,2.02%,-,-,399280,2.02%,자기주식
120,비금융회사,이니텍㈜,동일인측,동일인 측 합계,동일인 측 합계,11679349,59.01%,-,-,11679349,59.01%,동일인 측 합계
121,비금융회사,이니텍㈜,기타주주,기타,기타주주,8111567,40.99%,-,-,8111567,40.99%,기타
122,비금융회사,이니텍㈜,총계,총계,총계,19790916,100.00%,-,-,19790916,100.00%,총계
123,비금융회사,㈜케이티에이엠씨,동일인측,계열회사,㈜케이티에스테이트,1400000,100.00%,-,-,1400000,100.00%,계열회사
