,firm,kiscode,kiscode_tf
0,엘에스일렉트릭(주),388696,388696
1,가온전선(주),380342,380342
2,(주)E1,620025,620025
3,(주)LS네트웍스,610356,610356
4,(주)LS,380377,380377
5,(주)예스코홀딩스,400017,400017
6,엘에스전선아시아(주),HD5933,1801405933
7,엘에스전선(주),C17566,13017566
8,엘에스엠트론(주),C17572,13017572
9,엘에스오토모티브테크놀로지스(주),IS9394,1903109394
10,엘에스니꼬동제련(주),109492,109492
11,(주)예스코,JB2349,2101202349
12,엘에스메탈(주),F13282,16013282
13,(주)지앤피,371076,371076
14,(주)예스코이에스,125564,125564
15,엘에스메카피온(주),023872,023872
16,엘에스글로벌인코퍼레이티드(주),388748,388748
17,(주)베스트토요타,J17432,21017432
18,엘에스빌드윈(주),118365,118365
19,(주)지알엠,C17341,13017341
20,(주)이원컨테이너터미널,490606,490606
21,엘에스이브이코리아(주),IV6874,1903406874
22,캐스코(주),376093,376093
23,(주)선우,124618,124618
24,(주)대한가스기기,657905,657905
25,(주)디케이씨,153257,153257
26,엘에스알스코(주),JG6940,2101706940
27,(주)모보,168530,168530
28,(주)토리컴,118893,118893
29,한성피씨건설(주),C87348,13087348
30,(주)엠비케이코퍼레이션,IG0359,1901700359
31,온산탱크터미널(주),F14857,16014857
32,(주)한성플랜지,C78187,13078187
33,엘에스아이앤디(주),L38995,23038995
34,씨에스마린(주),H80953,18080953
35,(주)예스코컨설팅,IZ0157,1903800157
36,엘에스에이홀딩스(주),IS7468,1903107468
37,신대성전기(주),381748,381748
38,(주)흥업,614092,614092
39,엘에스사우타(주),780448,780448
40,(주)케이제이모터라드,495469,495469
41,(주)이원물류,085117,085117
42,(주)스포츠모터사이클코리아,C94562,13094562
43,(주)바이클로,HQ2781,1802802781
44,제이에스전선(주),380512,380512
45,(주)농가온,F03701,16003701
46,(주)넥스포쏠라,IU1093,1903301093
47,지엘마린(유),JX5905,2103605905
48,팜모아(주),JU9636,2103309636
49,(유)빌드윈문경태양광발전,JJ5268,2102105268
50,(유)빌드윈인동태양광발전,JJ5267,2102105267
51,(유)빌드윈충주지앤피태양광발전,LU7375,2303307375
52,(주)넥스포에너지,IU1092,1903301092
53,(주)세종전선,JY0547,2103700547
54,(주)이원쏠라,LT6332,2303206332
55,이지전선(주),LB7891,2301207891
56,(주)한성,502022,502022
