,Unnamed: 0,firm,kiscode,kiscode_tf
2,2,현대건설기계(주),IP0484,1902700484
3,3,한국조선해양(주),382892,382892
4,4,현대에너지솔루션(주),IL9297,1902309297
5,5,현대중공업지주(주),IP2696,1902702696
6,6,현대중공업(주),JP5755,2102705755
7,7,현대삼호중공업(주),124521,124521
8,8,현대오일뱅크(주),350915,350915
9,9,현대이엔티(주),371085,371085
10,10,현대중공업모스(주),HS4308,1803104308
11,11,현대글로벌서비스(주),HW1265,1803501265
12,12,현대로보틱스(주),LF2991,2301602991
13,13,현대중공업파워시스템(주),JF4517,2101604517
14,14,현대케미칼(주),L78871,23078871
15,15,현대코어모션(주),JN6483,2102506483
16,16,현대오일터미널(주),H80951,18080951
17,17,현대오씨아이(주),HN4618,1802504618
18,18,현대코스모(주),C99632,13099632
19,19,현대쉘베이스오일(주),H83652,18083652
20,20,태백풍력발전(주),C98076,13098076
21,21,창죽풍력발전(주),F39172,16039172
22,22,태백귀네미풍력발전(주),F20563,16020563
23,23,(주)코마스,C43325,13043325
24,24,현대신텍(주),JX5364,2103605364
25,25,현대엔진(유),492775,492775
26,26,(주)현대중공업스포츠,C12011,13012011
27,27,현대엘앤에스(주),LB2605,2301202605
28,28,(주)에이치이에이,JB8076,2101208076
29,29,현대미래파트너스(주),JK3219,2102203219
0,0,CJ제일제당(주),494292,494292
1,1,씨제이대한통운(주),710083,710083
2,2,씨제이씨지브이(주),102535,102535
3,3,CJ씨푸드(주),100129,100129
4,4,CJ(주),310182,310182
5,5,씨제이프레시웨이(주),157210,157210
6,6,(주)씨제이이엔엠,039944,39944
7,7,스튜디오드래곤(주),HP8944,1802708944
8,8,씨제이올리브영(주),JV2342,2103402342
9,9,씨제이푸드빌(주),145104,145104
10,10,씨제이엠디원(주),087941,87941
11,11,(주)씨제이텔레닉스,161029,161029
12,12,씨제이올리브네트웍스(주),046305,46305
13,13,씨제이파워캐스트(주),227284,227284
14,14,씨제이포디플렉스(주),F39230,16039230
15,15,삼해상사(주),074543,74543
16,16,디아이웨어(주),IX2906,1903602906
17,17,(주)메조미디어,108702,108702
18,18,(주)원지,353191,353191
19,19,농업회사법인(주)제이팜스,C55826,13055826
20,20,에스지생활안전(주),390119,390119
21,21,(주)프레시원강남,E68332,15068332
22,22,(주)프레시원남서울,J04721,21004721
23,23,(주)프레시원동서울,I63397,19063397
24,24,(주)씨제이라이브시티,HL9653,1802309653
25,25,(주)송림푸드,237627,237627
26,26,(주)프레시원대구경북,E55368,15055368
27,27,(주)프레시원광주,G69464,17069464
28,28,(주)프레시원미트,I70580,19070580
29,29,(주)프레시원중부,H71436,18071436
30,30,돈돈팜(주),367833,367833
31,31,(주)문화창고,G14062,17014062
32,32,(주)제이에스픽쳐스,C80532,13080532
33,33,타임와이즈인베스트먼트(주),133730,133730
34,34,(주)아트서비스,194216,194216
35,35,(주)화앤담픽쳐스,F66697,16066697
36,36,한국복합물류(주),286575,286575
37,37,(주)본팩토리,F19046,16019046
38,38,대한통운에스비(주),H82129,18082129
39,39,씨제이대한통운비엔디(주),C12063,13012063
40,40,(주)케이피제이,M21837,24021837
41,41,씨앤아이레저산업(주),390676,390676
42,42,보스포러스인베스트먼트(주),HP8905,1802708905
43,43,스윙엔터테인먼트(주),JD4198,2101404198
44,44,에프앤디인프라(주),IL7925,1902307925
45,45,(주)디베이스앤,JB1950,2101201950
46,46,씨제이생물자원(주),JQ9002,2102809002
47,47,(주)비이피씨탄젠트,F07361,16007361
48,48,(주)아트웍스코리아,315004,315004
49,49,마산항제4부두운영(주),111301,111301
50,50,(주)형제푸드,F26180,16026180
51,51,동석물류(주),388620,388620
52,52,어업회사법인신의도천일염(주),F08017,16008017
53,53,울산항만운영(주),111296,111296
54,54,(주)슈퍼레이스,C97823,13097823
55,55,(주)랭크웨이브,E91985,15091985
56,56,(주)제이케이필름,364353,364353
57,57,(주)데이비드토이,H39288,18039288
58,58,(주)송림에프에스,HD0317,1801400317
59,59,(주)코휘드,445688,445688
60,60,(주)스튜디오테이크원,IR0257,1902900257
61,61,(주)지티스트,IM8763,1902408763
62,62,이앤씨인프라(주),B98022,12098022
63,63,재산홀딩스(주),JV5097,2103405097
64,64,(주)모베오,LB1044,2301201044
65,65,(주)블라드스튜디오,JV2692,2103402692
66,66,(주)빌리프랩,JG9593,2101709593
67,67,(주)스톤뮤직엔터테인먼트,JB2925,2101202925
68,68,(주)아메바컬쳐,F57822,16057822
69,69,(주)원펙트엔터테인먼트,L54340,23054340
70,70,(주)이음해쉬태그,LH4425,2301804425
71,71,(주)제이에이치투자,JC0036,2101300036
72,72,(주)터치앤바이,LF5294,2301605294
73,73,(주)프레시원부산,I70179,19070179
74,74,(주)하이어뮤직레코즈,IQ8339,1902808339
75,75,씨제이브리딩(주),DC1167,1401301167
76,76,에이오엠지(주),J84860,21084860
77,77,인천남항부두운영(주),C12026,13012026
0,0,한화솔루션(주),350257,350257
1,1,(주)한화,350893,350893
2,2,한화생명보험(주),870013,870013
3,3,한화시스템(주),128888,128888
4,4,한화손해보험(주),870137,870137
5,5,한화에어로스페이스(주),380784,380784
6,6,한화투자증권(주),860026,860026
7,7,한화호텔앤드리조트(주),910147,910147
8,8,(주)한화건설,203828,203828
9,9,한화토탈(주),215522,215522
10,10,한화디펜스(주),IR7378,1902907378
11,11,(주)한화에스테이트,039667,39667
12,12,한화글로벌에셋(주),111164,111164
13,13,(주)한화갤러리아,620092,620092
14,14,(주)한화육삼시티,040053,40053
15,15,한화테크윈(주),JB2183,2101202183
16,16,한화정밀기계(주),IR7391,1902907391
17,17,한화손해사정(주),379952,379952
18,18,한화에너지(주),673142,673142
19,19,한화파워시스템(주),IR7354,1902907354
20,20,한화종합화학(주),351385,351385
21,21,한화자산운용(주),812757,812757
22,22,(주)한화갤러리아타임월드,620580,620580
23,23,한화라이프에셋(주),388750,388750
24,24,(주)에스아이티,F33505,16033505
25,25,(주)한화비앤비,L26546,23026546
26,26,한화컴파운드(주),370347,370347
27,27,에코이앤오(주),I67176,19067176
28,28,(주)한화저축은행,903183,903183
29,29,(주)한화도시개발,F00041,16000041
30,30,(주)캐스,137493,137493
31,31,(주)한화이글스,990124,990124
32,32,한화역사(주),612626,612626
33,33,(주)에이치피앤디,IN4248,1902504248
34,34,대산그린에너지(주),IY8041,1903708041
35,35,(주)여수씨월드,F12999,16012999
36,36,(주)일산씨월드,F20516,16020516
37,37,에이치솔루션(주),165442,165442
38,38,하이패스태양광(주),I71406,19071406
39,39,(주)경기용인테크노밸리,HG0470,1801700470
40,40,(주)김해테크노밸리,C92917,13092917
41,41,(주)서산테크노밸리,485766,485766
42,42,한화케미칼오버시즈홀딩스(주),C89693,13089693
43,43,(주)제주해양과학관,F23314,16023314
44,44,한화테크엠(주),087086,87086
45,45,에이치에스아이(주),CB8714,1301208714
46,46,한화솔라파워(주),IQ9959,1902809959
47,47,한화종합화학글로벌(주),JD3907,2101403907
48,48,(주)에스아이티테크,M27687,24027687
49,49,(주)에이치밸리,F08018,16008018
50,50,(주)아침태양광,CD1041,1301401041
51,51,영암테크노태양광(주),J66442,21066442
52,52,해사랑태양광(주),L89359,23089359
53,53,(주)아산테크노밸리,390416,390416
54,54,농업회사법인그린투모로우(주),F13001,16013001
55,55,드림라인쏠라파워5호(주),IR2067,1902902067
56,56,석문호수상태양광(주),IZ1042,1903801042
57,57,영암해오름태양광(주),J66154,21066154
58,58,캐롯손해보험(주),JP0571,2102700571
59,59,티지솔라넷(주),L96411,23096411
60,60,한마을태양광(주),IV9200,1903409200
61,61,한으뜸태양광(주),IX4990,1903604990
62,62,한화솔라파워글로벌(주),IV8198,1903408198
63,63,해맞이태양광발전(주),J59479,21059479
