,firm,kiscode,kiscode_tf
0,롯데쇼핑(주),620068,620068
1,롯데칠성음료(주),310476,310476
2,롯데케미칼(주),350265,350265
3,롯데제과(주),IV0057,1903400057
4,롯데하이마트(주),612375,612375
5,롯데정보통신(주),IV7260,1903407260
6,롯데푸드(주),310026,310026
7,롯데정밀화학(주),350338,350338
8,롯데지주(주),310204,310204
9,롯데위탁관리부동산투자회사(주),JN4221,2102504221
10,롯데글로벌로지스(주),078921,078921
11,(주)호텔롯데,630020,630020
12,롯데컬처웍스(주),JC5056,2101305056
13,롯데건설(주),500160,500160
14,에프알엘코리아(주),382306,382306
15,롯데지알에스(주),620475,620475
16,(주)코리아세븐,106111,106111
17,롯데알미늄(주),370240,370240
18,캐논코리아비즈니스솔루션(주),384291,384291
19,롯데렌탈(주),379186,379186
20,(주)우리홈쇼핑,174042,174042
21,(주)부산롯데호텔,630683,630683
22,롯데오토케어(주),J01953,21001953
23,롯데네슬레코리아(주),312444,312444
24,(주)대홍기획,JB3421,2101203421
25,롯데캐피탈(주),041277,041277
26,롯데자산개발(주),424992,424992
27,롯데멤버스(주),CC2354,1301302354
28,롯데제이티비(주),490605,490605
29,(주)롯데아사히주류,150081,150081
30,롯데엠시시(주),392701,392701
31,롯데물산(주),620890,620890
32,데크항공(주),C51438,13051438
33,롯데지에프알(주),234474,234474
34,한국후지필름(주),JB2986,2101202986
35,삼박엘에프티(주),172523,172523
36,(주)케이피켐텍,229177,229177
37,롯데상사(주),381802,381802
38,(주)그린카,F88147,16088147
39,(주)백학음료,375308,375308
40,(주)충북소주,375338,375338
41,롯데면세점제주(주),HG8271,1801708271
42,(주)엠허브,137356,137356
43,롯데오토리스(주),J09708,21009708
44,(주)롯데자이언츠,910244,910244
45,씨에이치음료(주),C77842,13077842
46,산청음료(주),911832,911832
47,롯데디에프리테일(주),380822,380822
48,한덕화학(주),036681,036681
49,롯데액셀러레이터(주),HN1189,1802501189
50,롯데베르살리스엘라스토머스(주),L03462,23003462
51,롯데송도쇼핑타운(주),H32456,18032456
52,(주)에스디제이,HJ3989,1802103989
53,롯데쇼핑타운대구(주),HG2681,1801702681
54,롯데타운동탄(주),HK2095,1802202095
55,롯데수원역쇼핑타운(주),477707,477707
56,롯데역사(주),812048,812048
57,롯데인천개발(주),I79706,19079706
58,롯데인천타운(주),L79880,23079880
59,롯데미쓰이화학(주),H31112,18031112
60,롯데울산개발(주),HN7710,1802507710
61,씨에스유통(주),119340,119340
62,(주)에스앤에스인터내셔날,F24545,16024545
63,거제피에프브이(주),JH2899,2101802899
64,은평피에프브이(주),M16497,24016497
65,(주)엔젤위드,I96706,19096706
66,롯데미래전략연구소(주),IX5826,1903605826
67,한국에스티엘(주),H76863,18076863
68,엠제이에이와인(주),C43328,13043328
69,(주)모비쟆미디어,H33662,18033662
70,롯데부산신항로지스(주),C92953,13092953
71,제이지산업(주),H91647,18091647
72,롯데김해개발(주),F14813,16014813
73,롯데에이엠씨(주),JN2774,2102502774
74,마곡지구피에프브이(주),L99248,23099248
75,스마일위드(주),JK7796,2102207796
76,(주)롯데디엠씨개발,JJ8292,2102108292
77,(주)이지고,JP3387,2102703387
78,롯데지에스화학(주),LA1514,2301101514
79,마곡엘앤타워피에프브이(주),LF3868,2301603868
80,스위트위드(주),HO8471,1802608471
81,푸드위드(주),JX9838,2103609838
