,firm,kiscode,kiscode_tf
0,(주)대한항공,990027,990027
1,한국공항(주),810061,810061
2,(주)진에어,C06922,13006922
3,(주)한진,710105,710105
4,(주)한진칼,J83149,21083149
5,(주)에어코리아,C38570,13038570
6,(주)항공종합서비스,167255,167255
7,(주)칼호텔네트워크,168739,168739
8,한진부산컨테이너터미널(주),495903,495903
9,한진정보통신(주),813877,813877
10,(주)한진관광,I91951,19091951
11,한진인천컨테이너터미널(주),M26860,24026860
12,토파스여행정보(주),105999,105999
13,정석기업(주),811637,811637
14,평택컨테이너터미날(주),295322,295322
15,(주)한국티비티,F06305,16006305
16,세계혼재항공화물(주),730025,730025
17,(주)왕산레저개발,H78731,18078731
18,(주)제동레저,372653,372653
19,아이에이티(주),F39215,16039215
20,서울복합물류프로젝트금융투자(주),H74676,18074676
21,태일캐터링(주),159281,159281
22,(주)싸이버스카이,211280,211280
23,서울복합물류자산관리(주),H74582,18074582
24,태일통상(주),692549,692549
25,부산글로벌물류센터(주),C83532,13083532
26,(주)한국글로발로지스틱스시스템,127586,127586
27,한진울산신항운영(주),H32463,18032463
28,청원냉장(주),I42784,19042784
29,포항항7부두운영(주),164218,164218
30,더블유에이씨항공서비스(주),T33876,32033876
