,firm,kiscode,kiscode_tf
0,한화솔루션(주),350257,350257
1,(주)한화,350893,350893
2,한화생명보험(주),870013,870013
3,한화시스템(주),128888,128888
4,한화손해보험(주),870137,870137
5,한화에어로스페이스(주),380784,380784
6,한화투자증권(주),860026,860026
7,한화호텔앤드리조트(주),910147,910147
8,(주)한화건설,203828,203828
9,한화토탈(주),215522,215522
10,한화디펜스(주),IR7378,1902907378
11,(주)한화에스테이트,039667,039667
12,한화글로벌에셋(주),111164,111164
13,(주)한화갤러리아,620092,620092
14,(주)한화육삼시티,040053,040053
15,한화테크윈(주),JB2183,2101202183
16,한화정밀기계(주),IR7391,1902907391
17,한화손해사정(주),379952,379952
18,한화에너지(주),673142,673142
19,한화파워시스템(주),IR7354,1902907354
20,한화종합화학(주),351385,351385
21,한화자산운용(주),812757,812757
22,(주)한화갤러리아타임월드,620580,620580
23,한화라이프에셋(주),388750,388750
24,(주)에스아이티,F33505,16033505
25,(주)한화비앤비,L26546,23026546
26,한화컴파운드(주),370347,370347
27,에코이앤오(주),I67176,19067176
28,(주)한화저축은행,903183,903183
29,(주)한화도시개발,F00041,16000041
30,(주)캐스,137493,137493
31,(주)한화이글스,990124,990124
32,한화역사(주),612626,612626
33,(주)에이치피앤디,IN4248,1902504248
34,대산그린에너지(주),IY8041,1903708041
35,(주)여수씨월드,F12999,16012999
36,(주)일산씨월드,F20516,16020516
37,에이치솔루션(주),165442,165442
38,하이패스태양광(주),I71406,19071406
39,(주)경기용인테크노밸리,HG0470,1801700470
40,(주)김해테크노밸리,C92917,13092917
41,(주)서산테크노밸리,485766,485766
42,한화케미칼오버시즈홀딩스(주),C89693,13089693
43,(주)제주해양과학관,F23314,16023314
44,한화테크엠(주),087086,087086
45,에이치에스아이(주),CB8714,1301208714
46,한화솔라파워(주),IQ9959,1902809959
47,한화종합화학글로벌(주),JD3907,2101403907
48,(주)에스아이티테크,M27687,24027687
49,(주)에이치밸리,F08018,16008018
50,(주)아침태양광,CD1041,1301401041
51,영암테크노태양광(주),J66442,21066442
52,해사랑태양광(주),L89359,23089359
53,(주)아산테크노밸리,390416,390416
54,농업회사법인그린투모로우(주),F13001,16013001
55,드림라인쏠라파워5호(주),IR2067,1902902067
56,석문호수상태양광(주),IZ1042,1903801042
57,영암해오름태양광(주),J66154,21066154
58,캐롯손해보험(주),JP0571,2102700571
59,티지솔라넷(주),L96411,23096411
60,한마을태양광(주),IV9200,1903409200
61,한으뜸태양광(주),IX4990,1903604990
62,한화솔라파워글로벌(주),IV8198,1903408198
63,해맞이태양광발전(주),J59479,21059479
64,해모둠태양광(주),JX5070,2103605070
65,(주)데이터애널리틱스랩,JD9754,2101409754
66,(주)라온태양광,JE0533,2101500533
67,(주)마루태양광,JE0530,2101500530
68,(주)미르태양광,JE0534,2101500534
69,(주)서오창테크노밸리,LO5130,2302605130
70,(주)서울역북부역세권개발,LG6496,2301706496
71,(주)소수태양광,JE0531,2101500531
72,(주)수리태양광,JE0529,2101500529
73,(주)아란태양광,JE0532,2101500532
74,(주)안성테크노밸리,JR5498,2102905498
75,(주)원오원글로벌,HV9598,1803409598
76,(주)제이용인테크노밸리,LA7231,2301107231
77,(주)하나트러스트제5호위탁관리부동산투자회사,LF2393,2301602393
78,(주)한화에스테이트서비스,JP7592,2102707592
79,양주에코텍(주),G86721,17086721
80,에이치글로벌파트너스(유),M28068,24028068
81,천장산풍력(주),LB4320,2301204320
82,플라자디앤씨(주),JQ0670,2102800670
83,해나라태양광(주),IR3303,1902903303
84,해돋이태양광(주),IR2747,1902902747
85,해오름태양광발전소(주),JV9440,2103409440
86,(주)한화금융에셋,M39796,24039796
