,firm,kiscode,kiscode_tf
0,(주)현대미포조선,380903,380903
1,현대일렉트릭앤에너지시스템(주),IP0497,1902700497
2,현대건설기계(주),IP0484,1902700484
3,한국조선해양(주),382892,382892
4,현대에너지솔루션(주),IL9297,1902309297
5,현대중공업지주(주),IP2696,1902702696
6,현대중공업(주),JP5755,2102705755
7,현대삼호중공업(주),124521,124521
8,현대오일뱅크(주),350915,350915
9,현대이엔티(주),371085,371085
10,현대중공업모스(주),HS4308,1803104308
11,현대글로벌서비스(주),HW1265,1803501265
12,현대로보틱스(주),LF2991,2301602991
13,현대중공업파워시스템(주),JF4517,2101604517
14,현대케미칼(주),L78871,23078871
15,현대코어모션(주),JN6483,2102506483
16,현대오일터미널(주),H80951,18080951
17,현대오씨아이(주),HN4618,1802504618
18,현대코스모(주),C99632,13099632
19,현대쉘베이스오일(주),H83652,18083652
20,태백풍력발전(주),C98076,13098076
21,창죽풍력발전(주),F39172,16039172
22,태백귀네미풍력발전(주),F20563,16020563
23,(주)코마스,C43325,13043325
24,현대신텍(주),JX5364,2103605364
25,현대엔진(유),492775,492775
26,(주)현대중공업스포츠,C12011,13012011
27,현대엘앤에스(주),LB2605,2301202605
28,(주)에이치이에이,JB8076,2101208076
29,현대미래파트너스(주),JK3219,2102203219
