,firm,kiscode,kiscode_tf
0,(주)케이티,810193,810193
1,(주)케이티아이에스,183424,183424
2,(주)케이티씨에스,183634,183634
3,(주)케이티스카이라이프,160136,160136
4,케이티하이텔(주),983365,983365
5,(주)나스미디어,168642,168642
6,(주)플레이디,F12112,16012112
7,(주)지니뮤직,045728,045728
8,이니텍(주),129698,129698
9,(주)케이티서브마린,037510,037510
10,케이티파워텔(주),185256,185256
11,케이티텔레캅(주),480449,480449
12,(주)케이티엠앤에스,482354,482354
13,(주)케이티서비스북부,F24148,16024148
14,(주)케이티서비스남부,F09190,16009190
15,(주)케이티디에스,C39451,13039451
16,(주)에이치엔씨네트워크,C02876,13002876
17,(주)케이티엠오에스북부,999892,999892
18,(주)케이티엠오에스남부,824892,824892
19,비씨카드(주),820512,820512
20,케이티링커스(주),810126,810126
21,(주)케이티에스테이트,F24552,16024552
22,(주)케이뱅크은행,HM3351,1802403351
23,(주)케이티엔지니어링,812153,812153
24,(주)스마트로,058822,058822
25,(주)케이티샛,I72792,19072792
26,(주)케이티엠하우스,372690,372690
27,케이티커머스(주),204461,204461
28,(주)스카이라이프티브이,377515,377515
29,(주)케이티엠모바일,FO4826,1602604826
30,브이피(주),166186,166186
31,(주)케이티에이엠씨,H77781,18077781
32,(주)케이티인베스트먼트,HJ1497,1802101497
33,넥스트커넥트피에프브이(주),JI2207,2101902207
34,(주)케이티스포츠,J08152,21008152
35,(주)케이티넥스알,C20187,13020187
36,(주)오토피온,L26084,23026084
37,(주)케이디리빙,I70402,19070402
38,케이티지디에이치(주),H79403,18079403
39,(주)지이프리미어제1호기업구조조정부동산투자회사,G60742,17060742
40,(주)스토리위즈,LA8227,2301108227
41,(주)케이리얼티임대주택제3호위탁관리부동산투자회사,JV0510,2103400510
42,(주)케이에이치에스,JH0705,2101800705
43,(주)케이티희망지음,JL5569,2102305569
44,(주)후후앤컴퍼니,HP8868,1802708868
