,firm,kiscode,kiscode_tf
0,아시아나항공(주),711187,711187
1,에어부산(주),C13841,13013841
2,금호산업(주),610364,610364
3,아시아나아이디티(주),790681,790681
4,금호고속(주),469520,469520
5,아시아나에어포트(주),711292,711292
6,케이에이(주),I91227,19091227
7,금호리조트(주),468937,468937
8,에어서울(주),HD4716,1801404716
9,금호속리산고속(주),710253,710253
10,아시아나세이버(주),237719,237719
11,금호티앤아이(주),IM9800,1902409800
12,아시아나개발(주),608980,608980
13,충주보라매(주),388981,388981
14,에이큐(주),HP4012,1802704012
15,케이에프(주),I91229,19091229
16,케이오(주),CR5110,1302905110
17,에이에이치(주),IX6317,1903606317
18,케이지(주),F97149,16097149
19,케이아이(주),I73160,19073160
20,금호고속관광(주),HX9149,1803609149
21,금호고속관광(주),JH3215,2101803215
22,금호고속관광(주),L55297,23055297
23,에스티엠(주),IN9090,1902509090
24,에이오(주),IX6722,1903606722
25,케이브이아이(주),JM2181,2102402181
26,케이알(주),CR5094,1302905094
