,firm,kiscode,kiscode_tf
0,(주)부영주택,F12860,16012860
1,(주)무주덕유산리조트,036862,036862
2,(주)동광주택,F12858,16012858
3,(주)오투리조트,548906,548906
4,(주)광영토건,007131,007131
5,대화도시가스(주),400327,400327
6,(주)부영씨씨,C52733,13052733
7,천원종합개발(주),245669,245669
8,(주)더클래식씨씨,222711,222711
9,남광건설산업(주),060687,060687
10,(주)부영,900311,900311
11,동광주택산업(주),512648,512648
12,부강주택관리(주),534690,534690
13,(주)남양개발,213872,213872
14,(주)인천일보,341231,341231
15,(주)한라일보사,098620,098620
16,(주)부영엔터테인먼트,184662,184662
17,(주)부영대부파이낸스,827282,827282
18,(주)비와이월드,HK7337,1802207337
19,(주)에이치아이엠,FO1183,1602601183
20,(주)부영환경산업,H04151,18004151
21,(주)부영유통,M40313,24040313
22,(주)인천출판사,IO5339,1902605339
