,firm,kiscode,kiscode_tf
0,두산중공업(주),382647,382647
1,(주)두산,310425,310425
2,두산인프라코어(주),152018,152018
3,두산퓨얼셀(주),JU0606,2103300606
4,솔루스첨단소재(주),JU2570,2103302570
5,두산밥캣(주),L74201,23074201
6,(주)오리콤,820024,820024
7,(주)신한벤처투자,IT9021,1903209021
8,두산건설(주),360171,360171
9,두산큐벡스(주),480952,480952
10,네오트랜스(주),388949,388949
11,두산메카텍(주),HQ7187,1802807187
12,두산로보틱스(주),HH7744,1801807744
13,(주)한컴,820628,820628
14,(주)두산베어스,990159,990159
15,두산밥캣코리아(주),HD4472,1801404472
16,(주)두산모빌리티이노베이션,IG0390,1901700390
17,두산경영연구원(주),HN5387,1802505387
18,디비씨(주),IQ5569,1902805569
19,(주)두산에이치에프컨트롤스아시아,HH9279,1801809279
20,네오플럭스제3호사모투자(자),JC5421,2101305421
21,두산로지스틱스솔루션(주),JO0941,2102600941
22,밸류그로스(주),LH8614,2301808614
23,오성파워오엔엠(주),JA0025,2101100025
24,이큐브솔루션(주),LU8601,2303308601
25,케이티씨엔피그로쓰챔프2011의2호사모투자전문회사,I66564,19066564
26,밸류웍스(주),IR7128,1902907128
