,firm,kiscode,kiscode_tf
0,CJ제일제당(주),494292,494292
1,씨제이대한통운(주),710083,710083
2,씨제이씨지브이(주),102535,102535
3,CJ씨푸드(주),100129,100129
4,CJ(주),310182,310182
5,씨제이프레시웨이(주),157210,157210
6,(주)씨제이이엔엠,039944,039944
7,스튜디오드래곤(주),HP8944,1802708944
8,씨제이올리브영(주),JV2342,2103402342
9,씨제이푸드빌(주),145104,145104
10,씨제이엠디원(주),087941,087941
11,(주)씨제이텔레닉스,161029,161029
12,씨제이올리브네트웍스(주),046305,046305
13,씨제이파워캐스트(주),227284,227284
14,씨제이포디플렉스(주),F39230,16039230
15,삼해상사(주),074543,074543
16,디아이웨어(주),IX2906,1903602906
17,(주)메조미디어,108702,108702
18,(주)원지,353191,353191
19,농업회사법인(주)제이팜스,C55826,13055826
20,에스지생활안전(주),390119,390119
21,(주)프레시원강남,E68332,15068332
22,(주)프레시원남서울,J04721,21004721
23,(주)프레시원동서울,I63397,19063397
24,(주)씨제이라이브시티,HL9653,1802309653
25,(주)송림푸드,237627,237627
26,(주)프레시원대구경북,E55368,15055368
27,(주)프레시원광주,G69464,17069464
28,(주)프레시원미트,I70580,19070580
29,(주)프레시원중부,H71436,18071436
30,돈돈팜(주),367833,367833
31,(주)문화창고,G14062,17014062
32,(주)제이에스픽쳐스,C80532,13080532
33,타임와이즈인베스트먼트(주),133730,133730
34,(주)아트서비스,194216,194216
35,(주)화앤담픽쳐스,F66697,16066697
36,한국복합물류(주),286575,286575
37,(주)본팩토리,F19046,16019046
38,대한통운에스비(주),H82129,18082129
39,씨제이대한통운비엔디(주),C12063,13012063
40,(주)케이피제이,M21837,24021837
41,씨앤아이레저산업(주),390676,390676
42,보스포러스인베스트먼트(주),HP8905,1802708905
43,스윙엔터테인먼트(주),JD4198,2101404198
44,에프앤디인프라(주),IL7925,1902307925
45,(주)디베이스앤,JB1950,2101201950
46,씨제이생물자원(주),JQ9002,2102809002
47,(주)비이피씨탄젠트,F07361,16007361
48,(주)아트웍스코리아,315004,315004
49,마산항제4부두운영(주),111301,111301
50,(주)형제푸드,F26180,16026180
51,동석물류(주),388620,388620
52,어업회사법인신의도천일염(주),F08017,16008017
53,울산항만운영(주),111296,111296
54,(주)슈퍼레이스,C97823,13097823
55,(주)랭크웨이브,E91985,15091985
56,(주)제이케이필름,364353,364353
57,(주)데이비드토이,H39288,18039288
58,(주)송림에프에스,HD0317,1801400317
59,(주)코휘드,445688,445688
60,(주)스튜디오테이크원,IR0257,1902900257
61,(주)지티스트,IM8763,1902408763
62,이앤씨인프라(주),B98022,12098022
63,재산홀딩스(주),JV5097,2103405097
64,(주)모베오,LB1044,2301201044
65,(주)블라드스튜디오,JV2692,2103402692
66,(주)빌리프랩,JG9593,2101709593
67,(주)스톤뮤직엔터테인먼트,JB2925,2101202925
68,(주)아메바컬쳐,F57822,16057822
69,(주)원펙트엔터테인먼트,L54340,23054340
70,(주)이음해쉬태그,LH4425,2301804425
71,(주)제이에이치투자,JC0036,2101300036
72,(주)터치앤바이,LF5294,2301605294
73,(주)프레시원부산,I70179,19070179
74,(주)하이어뮤직레코즈,IQ8339,1902808339
75,씨제이브리딩(주),DC1167,1401301167
76,에이오엠지(주),J84860,21084860
77,인천남항부두운영(주),C12026,13012026
