,firm,kiscode,kiscode_tf
0,(주)포스코,370673,370673
1,(주)포스코케미칼,520233,520233
2,(주)포스코인터내셔널,158358,158358
3,포스코강판(주),371564,371564
4,(주)포스코아이씨티,813605,813605
5,(주)포스코엠텍,370550,370550
6,(주)포스코건설,502146,502146
7,(주)포스코오앤엠,084878,084878
8,(주)포스코에이앤씨건축사사무소,039012,039012
9,(주)포스코휴먼스,F06292,16006292
10,포스코에너지(주),128380,128380
11,(주)에스엔엔씨,388462,388462
12,한국퓨얼셀(주),JV3084,2103403084
13,(주)포스코인재창조원,CD3034,1301403034
14,(주)엔투비,158326,158326
15,(주)피엠씨텍,I81742,19081742
16,(주)포스코경영연구원,398594,398594
17,삼척블루파워(주),H78737,18078737
18,(주)피엔알,C06102,13006102
19,(주)부산이앤이,F22373,16022373
20,포스코기술투자(주),625256,625256
21,포스코터미날(주),099832,099832
22,(주)순천에코트랜스,H31276,18031276
23,(주)포항에스알디씨,G74340,17074340
24,우이신설경전철(주),687206,687206
25,(주)에스피에이치,M35449,24035449
26,(주)탄천이앤이,C92845,13092845
27,(주)포스코알텍,IQ9194,1902809194
28,송도개발피엠씨(유),JH5858,2101805858
29,(주)포스코에스피에스,LD9612,2301409612
30,(주)피앤오케미칼,LI5555,2301905555
31,게일인터내셔널코리아(유),C10551,13010551
32,포항특수용접봉(주),I67173,19067173
33,포항테크노밸리피에프브이(주),H50639,18050639
