,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
0,비금융회사,에이치엠엠,동일인측,동일인,에이치엠엠,-,-,-,-,,-,318410052.0,,0,0,0.0,0.0009445807320178448,
1,비금융회사,에이치엠엠,동일인측,비영리법인,에이치엠엠사내근로복지기금,173776,0.06%,-,-,173776.0,0.06%,318410052.0,0.0005457616645846344,50,0,,0.0009445807320178448,
2,비금융회사,에이치엠엠,동일인측,등기된 임원,배재훈,72678,0.02%,-,-,72678.0,0.02%,318410052.0,0.00022825284422867402,50,0,,0.0009445807320178448,
3,비금융회사,에이치엠엠,동일인측,등기된 임원,윤상건,9310,0.00%,-,-,9310.0,0.00%,318410052.0,2.9239026662386904e-05,50,0,,0.0009445807320178448,
4,비금융회사,에이치엠엠,동일인측,등기된 임원,신용권,45000,0.01%,-,-,45000.0,0.01%,318410052.0,0.00014132719654214937,50,0,,0.0009445807320178448,
5,비금융회사,에이치엠엠,동일인측,동일인측 합계,동일인측 합계,300764,0.09%,-,-,300764.0,0.09%,318410052.0,0.0009445807320178448,50,50,,,
6,비금융회사,에이치엠엠,기타주주,동일인측이 아닌최다주주,한국산업은행,41199297,13.02%,-,-,41199297.0,12.94%,318410052.0,0.12939069210038634,99,99,0.9990554192679821,0.9990554192679821,
7,비금융회사,에이치엠엠,기타주주,기타,기타,275052134,86.89%,1857857,100%,276909991.0,86.97%,318410052.0,0.8696647271675958,99,99,0.9990554192679821,0.9990554192679821,
8,비금융회사,에이치엠엠,총 계,총 계,총 계,316552195,100%,1857857,100%,318410052.0,100%,318410052.0,1.0,50,50,,,
9,비금융회사,에이치엠엠오션서비스,동일인측,동일인,에이치엠엠,679432,100%,-,-,679432.0,100%,679432.0,1.0,0,0,1.0,1.0,
10,비금융회사,에이치엠엠오션서비스,동일인측,동일인측 합계,동일인측 합계,679432,100%,-,-,679432.0,100%,679432.0,1.0,50,50,,,
11,비금융회사,에이치엠엠오션서비스,총계,총계,총계,679432,100%,-,-,679432.0,100%,679432.0,1.0,50,50,,,
12,비금융회사,현대상선퍼시픽,동일인측,동일인,에이치엠엠,91667,100.00%,-,-,91667.0,100.00%,91667.0,1.0,0,0,1.0,1.0,
13,비금융회사,현대상선퍼시픽,동일인측,동일인측 합계,동일인측 합계,91667,100.00%,-,-,91667.0,100.00%,91667.0,1.0,50,50,,,
14,비금융회사,현대상선퍼시픽,총계,총계,총계,91667,100.00%,-,-,91667.0,100.00%,91667.0,1.0,50,50,,,
15,금융회사,에이치티알헤시라스,동일인측,동일인,에이치엠엠,589002,100.00%,-,-,589002.0,100.00%,589002.0,1.0,0,0,1.0,1.0,
16,금융회사,에이치티알헤시라스,동일인측,동일인측 합계,동일인측 합계,589002,100.00%,-,-,589002.0,100.00%,589002.0,1.0,50,50,,,
17,금융회사,에이치티알헤시라스,총계,총계,총계,589002,100.00%,-,-,589002.0,100.00%,589002.0,1.0,50,50,,,
