,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
37,비금융회사,지니뮤직,총계,총계,총계,58115438,100.00%,-,-,58115438.0,100.00%,58115438.0,1.0,50,50,,,
38,비금융회사,케이티서브마린,동일인측,동일인,케이티,8085000,36.92%,-,-,8085000.0,36.92%,21900000.0,0.36917808219178083,0,0,0.36917808219178083,0.43063356164383565,
39,비금융회사,케이티서브마린,동일인측,자기주식,케이티서브마린,1345875,6.15%,-,-,1345875.0,6.15%,21900000.0,0.0614554794520548,50,0,,0.43063356164383565,
40,비금융회사,케이티서브마린,동일인측,동일인측 합계,동일인측 합계,9430875,43.06%,-,-,9430875.0,43.06%,21900000.0,0.4306335616438356,50,50,,,
41,비금융회사,케이티서브마린,기타주주,기타,기타,12469125,56.94%,-,-,12469125.0,56.94%,21900000.0,0.5693664383561644,99,99,0.5693664383561644,0.5693664383561644,
42,비금융회사,케이티서브마린,총계,총계,총계,21900000,100.00%,-,-,21900000.0,100.00%,21900000.0,1.0,50,50,,,
43,비금융회사,케이티아이에스,동일인측,동일인,케이티,10196190,29.30%,-,-,10196190.0,29.30%,34802000.0,0.29297712775127865,0,0,0.29297712775127865,0.3219645422676857,
44,비금융회사,케이티아이에스,동일인측,등기된 임원,이응호,30360,0.09%,-,-,30360.0,0.09%,34802000.0,0.000872363657261077,50,0,,0.3219645422676857,
45,비금융회사,케이티아이에스,동일인측,등기된 임원,조이준,3000,0.01%,-,-,3000.0,0.01%,34802000.0,8.620194241710247e-05,50,0,,0.3219645422676857,
46,비금융회사,케이티아이에스,동일인측,자기주식,케이티아이에스,975460,2.80%,-,-,975460.0,2.80%,34802000.0,0.028028848916728924,50,0,,0.3219645422676857,
47,비금융회사,케이티아이에스,동일인측,동일인 측 합계,동일인 측 합계,11205010,32.20%,-,-,11205010.0,32.20%,34802000.0,0.3219645422676858,50,50,,,
48,비금융회사,케이티아이에스,기타주주,기타,기타,23596990,67.80%,-,-,23596990.0,67.80%,34802000.0,0.6780354577323142,99,99,0.6780354577323142,0.6780354577323142,
49,비금융회사,케이티아이에스,총계,총계,총계,34802000,100.00%,-,-,34802000.0,100.00%,34802000.0,1.0,50,50,,,
50,비금융회사,케이티스카이라이프,동일인측,동일인,케이티,23908000,49.99%,-,-,23908000.0,49.99%,47821966.0,0.499937622807059,0,0,0.499937622807059,0.5053768178414079,
51,비금융회사,케이티스카이라이프,동일인측,등기된 임원,김진국,1500,0.00%,-,-,1500.0,0.00%,47821966.0,3.136633905849876e-05,50,0,,0.5053768178414079,
