,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,동일인과의 관계3,divisor,shares,type,type2,own,own2,ownername
35,비금융회사,지니뮤직,기타주주,기타,기타,36842446,63.40%,-,-,36842446.0,63.40%,기타,58115438.0,0.6339528233444615,99,99,0.6339528233444615,0.6339528233444615,
36,비금융회사,지니뮤직,총계,총계,총계,58115438,100.00%,-,-,58115438.0,100.00%,총계,58115438.0,1.0,50,50,,,
37,비금융회사,케이티서브마린,동일인측,동일인,케이티,8085000,36.92%,-,-,8085000.0,36.92%,동일인,21900000.0,0.36917808219178083,0,0,0.36917808219178083,0.43063356164383565,
38,비금융회사,케이티서브마린,동일인측,자기주식,케이티서브마린,1345875,6.15%,-,-,1345875.0,6.15%,자기주식,21900000.0,0.0614554794520548,50,0,,0.43063356164383565,
39,비금융회사,케이티서브마린,동일인측,동일인측 합계,동일인측 합계,9430875,43.06%,-,-,9430875.0,43.06%,동일인측 합계,21900000.0,0.4306335616438356,50,50,,,
40,비금융회사,케이티서브마린,기타주주,기타,기타,12469125,56.94%,-,-,12469125.0,56.94%,기타,21900000.0,0.5693664383561644,99,99,0.5693664383561644,0.5693664383561644,
41,비금융회사,케이티서브마린,총계,총계,총계,21900000,100.00%,-,-,21900000.0,100.00%,총계,21900000.0,1.0,50,50,,,
42,비금융회사,케이티아이에스,동일인측,동일인,케이티,10196190,29.30%,-,-,10196190.0,29.30%,동일인,34802000.0,0.29297712775127865,0,0,0.29297712775127865,0.3211025228435147,
43,비금융회사,케이티아이에스,동일인측,등기된 임원,이응호,360,0.00%,-,-,360.0,0.00%,등기된 임원,34802000.0,1.0344233090052296e-05,50,0,,0.3211025228435147,
44,비금융회사,케이티아이에스,동일인측,등기된 임원,조이준,3000,0.01%,-,-,3000.0,0.01%,등기된 임원,34802000.0,8.620194241710247e-05,50,0,,0.3211025228435147,
45,비금융회사,케이티아이에스,동일인측,자기주식,케이티아이에스,975460,2.80%,-,-,975460.0,2.80%,자기주식,34802000.0,0.028028848916728924,50,0,,0.3211025228435147,
46,비금융회사,케이티아이에스,동일인측,동일인 측 합계,동일인 측 합계,11175010,32.11%,-,-,11175010.0,32.11%,동일인 측 합계,34802000.0,0.32110252284351476,50,50,,,
47,비금융회사,케이티아이에스,기타주주,기타,기타,23626990,67.89%,-,-,23626990.0,67.89%,기타,34802000.0,0.6788974771564853,99,99,0.6788974771564853,0.6788974771564853,
48,비금융회사,케이티아이에스,총계,총계,총계,34802000,100.00%,-,-,34802000.0,100.00%,총계,34802000.0,1.0,50,50,,,
49,비금융회사,케이티스카이라이프,동일인측,동일인,케이티,23908000,49.99%,-,-,23908000.0,49.99%,동일인,47821966.0,0.499937622807059,0,0,0.499937622807059,0.5053768178414079,
50,비금융회사,케이티스카이라이프,동일인측,등기된 임원,김진국,1500,0.00%,-,-,1500.0,0.00%,등기된 임원,47821966.0,3.136633905849876e-05,50,0,,0.5053768178414079,
51,비금융회사,케이티스카이라이프,동일인측,자기주식,케이티스카이라이프,258613,0.54%,-,-,258613.0,0.54%,자기주식,47821966.0,0.005407828695290361,50,0,,0.5053768178414079,
52,비금융회사,케이티스카이라이프,동일인측,동일인 측 합계,동일인 측 합계,24168113,50.54%,-,-,24168113.0,50.54%,동일인 측 합계,47821966.0,0.5053768178414079,50,50,,,
53,비금융회사,케이티스카이라이프,기타주주,기타,기타,23653853,49.46%,-,-,23653853.0,49.46%,기타,47821966.0,0.49462318215859213,99,99,0.49462318215859213,0.49462318215859213,
54,비금융회사,케이티스카이라이프,총계,총계,총계,47821966,100.00%,-,-,47821966.0,100.00%,총계,47821966.0,1.0,50,50,,,
55,비금융회사,케이티씨에스,동일인측,동일인,케이티,3177426,7.44%,-,-,3177426.0,7.44%,동일인,42685000.0,0.07443893639451798,0,0,0.07443893639451798,0.09487702940142907,
56,비금융회사,케이티씨에스,동일인측,등기된 임원,유태흥,400,0.00%,-,-,400.0,0.00%,등기된 임원,42685000.0,9.37097340986295e-06,50,0,,0.09487702940142907,
57,비금융회사,케이티씨에스,동일인측,자기주식,케이티씨에스,872000,2.04%,-,-,872000.0,2.04%,자기주식,42685000.0,0.02042872203350123,50,0,,0.09487702940142907,
58,비금융회사,케이티씨에스,동일인측,계열회사,케이티아이에스,4954704,11.61%,-,-,4954704.0,11.61%,계열회사,42685000.0,0.11607599859435398,1,1,0.11607599859435398,0.11607599859435398,케이티아이에스
59,비금융회사,케이티씨에스,동일인측,계열회사,케이티하이텔,4800000,11.25%,-,-,4800000.0,11.25%,계열회사,42685000.0,0.11245168091835539,1,1,0.11245168091835539,0.11245168091835539,케이티하이텔
60,비금융회사,케이티씨에스,동일인측,동일인측 합계,동일인측 합계,13804530,32.34%,-,-,13804530.0,32.34%,동일인측 합계,42685000.0,0.3234047089141385,50,50,,,
61,비금융회사,케이티씨에스,기타주주,기타,기타,28880470,67.66%,-,-,28880470.0,67.66%,기타,42685000.0,0.6765952910858616,99,99,0.6765952910858616,0.6765952910858616,
62,비금융회사,케이티씨에스,총 계,총 계,총 계,42685000,100.00%,-,-,42685000.0,100.00%,총 계,42685000.0,1.0,50,50,,,
63,비금융회사,케이티에스테이트,동일인측,동일인,케이티,15848819,100.00%,-,-,15848819.0,100.00%,동일인,15848819.0,1.0,0,0,1.0,1.0,
64,비금융회사,케이티에스테이트,동일인측,동일인 측 합계,동일인 측 합계,15848819,100.00%,-,-,15848819.0,100.00%,동일인 측 합계,15848819.0,1.0,50,50,,,
65,비금융회사,케이티에스테이트,기타주주,기타,기타,-,-,-,-,,-,기타,15848819.0,,99,99,0.0,0.0,
66,비금융회사,케이티에스테이트,총계,총계,총계,15848819,100.00%,-,-,15848819.0,100.00%,총계,15848819.0,1.0,50,50,,,
67,비금융회사,케이티엠앤에스,동일인측,동일인,케이티,47400000,100.00%,-,-,47400000.0,100.00%,동일인,47400000.0,1.0,0,0,1.0,1.0,
68,비금융회사,케이티엠앤에스,동일인측,동일인 측 합계,동일인 측 합계,47400000,100.00%,-,-,47400000.0,100.00%,동일인 측 합계,47400000.0,1.0,50,50,,,
69,비금융회사,케이티엠앤에스,기타주주,기타,기타,-,-,-,-,,-,기타,47400000.0,,99,99,0.0,0.0,
70,비금융회사,케이티엠앤에스,총계,총계,총계,47400000,100.00%,-,-,47400000.0,100.00%,총계,47400000.0,1.0,50,50,,,
71,비금융회사,케이티엠하우스,동일인측,동일인,케이티,760000,76.00%,-,-,760000.0,76.00%,동일인,1000000.0,0.76,0,0,0.76,0.77,
