,firm,kiscode,kiscode_tf,business
0,팬오션(주),720020,720020,1048119101
1,(주)엔에스쇼핑,174048,174048,1178133642
2,(주)팜스코,120329,120329,1298130202
3,(주)선진,F77924,16077924,1268636352
4,(주)하림,F91473,16091473,4038161113
5,(주)하림지주,310360,310360,3068103054
6,(주)올품,179793,179793,1298127425
7,제일사료(주),F60460,16060460,3058608366
8,한강씨엠(주),171847,171847,1278161937
9,농업회사법인(주)팜스코바이오인티,L49492,23049492,1268674040
10,(주)싱그린에프에스,467992,467992,4038128657
11,농업회사법인(주)주원산오리,093285,093285,3058153852
12,농업회사법인(주)선진한마을,092484,092484,1268136487
13,(주)선진에프에스,C13067,13013067,1268185708
14,(주)포스에스엠,HJ5420,1802105420,7368800179
15,(주)선진햄,159100,159100,1358127696
16,한국썸벧(주),IQ9812,1902809812,3888100836
17,(주)팜스코푸드,J99446,21099446,3178137928
18,(주)하림펫푸드,IP0402,1902700402,2408100698
19,(주)애그리로보텍,F18235,16018235,1288640279
20,농업회사법인(주)포크랜드,537159,537159,5158124406
21,(주)에코캐피탈,F21483,16021483,2118844421
22,(주)참트레이딩,H23502,18023502,2118840110
23,농업회사법인(주)봉산지피,M18647,24018647,4168199589
24,농업회사법인(주)순우리한우,419868,419868,2128153870
25,(주)하림산업,E78900,15078900,1298671998
26,농업회사법인(주)익산,157936,157936,4038112136
27,한국인베스트먼트(주),G71746,17071746,4038160128
28,농업회사법인(유)하이포크스마트팜,092506,092506,5158116148
29,농업회사법인(유)에이치비씨,I43614,19043614,4038146636
30,(주)에버미라클,226111,226111,4028145615
31,(주)엔디,C91126,13091126,1078705350
32,(주)동림건설,F00316,16000316,4038143532
33,(주)에이치에스푸드,HO8118,1802608118,3218600333
34,(주)청운농업회사법인,C81855,13081855,2218130089
35,(주)하림엠에스,I91511,19091511,2118889578
36,(주)선진브릿지랩,C97579,13097579,1268145593
37,팜엔코(주),M19047,24019047,1428177966
38,(주)경우,283355,283355,2298102781
39,(주)맥시칸,294709,294709,5158102678
40,푸른조경(주),319228,319228,4088114804
41,(주)하림애니멀클리닉,G70016,17070016,4038159505
42,농업회사법인(주)봉화,C97560,13097560,1268622218
43,(주)글라이드,JQ2406,2102802406,4048701406
44,(주)선진팜,HU2924,1803302924,1178800494
45,(주)엔바이콘,HQ0658,1802800658,1888100347
46,(유)엑셀로이콰인알앤디센터,JU9637,2103309637,6128801417
47,(주)디디에프엔비,L78478,23078478,2648134189
48,(주)세티,LJ6528,2302106528,4228601969
49,(주)엔에스홈쇼핑미디어센터,G19805,17019805,1178165580
50,(주)제이에이치제이,LU2020,2303302020,5488601878
51,(주)하림유통,G13417,17013417,4038161092
52,농업회사법인(주)늘푸른,L47773,23047773,4038176504
53,농업회사법인(주)봉화제네틱스,J56966,21056966,5128120599
54,농업회사법인(주)비앤피,LT0828,2303200828,1078843216
55,농업회사법인피그앤그린(주),F97619,16097619,3058608575
