,firm,kiscode,kiscode_tf,business
0,(주)남선알미늄,380040,380040,5028100107
1,대한해운(주),720186,720186,1018124624
2,(주)티케이케미칼,B99515,12099515,1078701960
3,경남기업(주),500720,500720,1168105522
4,삼환기업(주),500267,500267,1018100452
5,에스엠상선(주),039911,039911,1388101773
6,에스엠인더스트리(주),768600,768600,6228100191
7,(주)에스엠화진,036144,036144,5058120567
8,에스엠스틸(주),758655,758655,1308130288
9,에스엠중공업(주),102419,102419,1238137226
10,(주)우방,C71534,13071534,5148164671
11,동아건설산업(주),500135,500135,1108100214
12,에스엠신용정보(주),125536,125536,1108142932
13,(주)벡셀,F17483,16017483,5138158593
14,대한상선(주),720364,720364,1028119430
15,(주)삼라,500429,500429,2148106859
16,한덕철광산업(주),185895,185895,2258113326
17,(주)이엔에이치,500298,500298,1248630842
18,(주)울산방송,817538,817538,6108126897
19,케이엘씨에스엠(주),029416,029416,6018126632
20,에스엠하이플러스(주),494219,494219,1298611103
21,(주)태길종합건설,122702,122702,1208185544
22,신촌역사(주),194172,194172,1068165203
23,에스엠에이엠씨투자대부(주),199741,199741,1108150825
24,(주)남선홀딩스,JJ9442,2102109442,6598601386
25,(주)삼라마이다스,C89174,13089174,4098135379
26,서남바이오에너지(주),J64354,21064354,1058788753
27,(주)케이알티산업,JH5828,2101805828,6918101143
28,(주)라도,L84005,23084005,1078821186
29,(주)케이엘홀딩스,J93689,21093689,4088604617
30,에스엠상선광양터미널(주),F22377,16022377,4168172708
31,(주)한통엔지니어링,502189,502189,1068106112
32,코리코엔터프라이스(주),028665,028665,6018110367
33,에스엠상선경인터미널(주),H70873,18070873,1218610342
34,한국선박금융(주),245746,245746,1018191439
35,(주)에스엠글로벌유통,C59129,13059129,1228161081
36,(주)바로코사,159679,159679,1358138548
37,이코사주류(주),080454,080454,2158142538
38,(주)에스엠화진인터내셔널,474783,474783,5058142163
39,(주)에스씨파워텍,I27599,19027599,1388137951
40,(주)에이치제이피,IT4964,1903204964,8388700823
41,농업회사법인(주)삼라농원,J16022,21016022,1078793816
42,대림종합건설더블유(주),JG3916,2101703916,7338701115
43,대한해운엘엔지(주),LJ0576,2302100576,8248701648
44,성우종합건설더블유(주),IW1097,1903501097,3938600814
45,신촌역사개발(주),JW3827,2103503827,1328801357
46,신화디앤디(주),IT6118,1903206118,5748800606
47,에스엠레저산업(주),JS3328,2103103328,7358801326
48,우방산업(주),LH6735,2301806735,2838801785
49,탑스텐동강시스타(주),JY4102,2103704102,3848601686
50,태초이앤씨(주),IS0726,1903100726,6888700908
51,판교에스디쓰리(주),G70717,17070717,1018657979
52,프런티어인베스트먼트(주),IY9476,1903709476,3288800793
53,플러스매니지먼트(주),JJ3653,2102103653,1128601155
54,(주)한울코퍼레이션,EE8128,1501508128,5218100087
55,우방토건(주),369287,369287,5158127214
56,(주)델라노체,M39647,24039647,1228645145
57,(주)유피아이인터내셔널,HL1549,1802301549,2388800277
58,삼라산업개발(주),134979,134979,4098136494
