,firm,kiscode,kiscode_tf,business
0,(주)세아베스틸,381519,381519,1138106798
1,(주)세아제강,JG4190,2101704190,5688601173
2,(주)세아특수강,371904,371904,5068104497
3,(주)세아홀딩스,171342,171342,1048163174
4,(주)세아제강지주,370118,370118,1068160926
5,(주)세아창원특수강,082592,082592,6098129083
6,(주)세아에프에스,370835,370835,1258101272
7,(주)세아네트웍스,690066,690066,1208110951
8,(주)세아에삽,386324,386324,6098124701
9,(주)세아항공방산소재,204627,204627,6098151440
10,(주)세아엔지니어링,L26948,23026948,3148653870
11,(주)세아엘앤에스,710903,710903,3038101756
12,(주)세아메탈,024495,024495,6088119001
13,(주)세아씨엠,IR6448,1902906448,1438800741
14,(주)세아엠앤에스,391198,391198,1378173779
15,(주)우진정공,372675,372675,1258129789
16,동아스틸(주),034552,034552,6068140755
17,(주)아이언그레이,I81743,19081743,1048644788
18,(주)에이팩인베스터스,386847,386847,1138100945
19,(주)에이치피피,L69974,23069974,1058801054
20,(주)세아스틸인터내셔날,JB9998,2101209998,3298600899
21,(주)에스에스아이케이,LE9890,2301509890,7038800806
22,(주)씨티씨,JS3033,2103103033,1778701561
23,(주)브이엔티지,LH3214,2301803214,4038601798
24,(주)에이앤에이인베스트,LJ0720,2302100720,4318602002
25,(주)윈트러스트,JS7303,2103107303,7268701422
26,(주)이사야에이치피피,JO9675,2102609675,8478701428
27,(주)이앤비원,C38776,13038776,1238610275
28,(주)피앤아이,088723,088723,2098124651
29,(주)빈티지랩,F11069,16011069,2118804147
30,(주)디지투스,IS6850,1903106850,8038700695
