,firm,kiscode,kiscode_tf,business
0,(주)이월드,375649,375649,5038168487
1,(주)이리츠코크렙기업구조조정부동산투자회사,467595,467595,1078667081
2,(주)이랜드리테일,620106,620106,1148101855
3,(주)이랜드월드,637190,637190,1058144184
4,(주)이랜드파크,900893,900893,2278100735
5,(주)이랜드이츠,JQ7455,2102807455,5148601083
6,(주)이네스트,487157,487157,1058708195
7,(주)이랜드건설,058357,058357,1058617343
8,(주)이랜드시스템스,024518,024518,1058145524
9,(주)이랜드중국패션디자인,B98023,12098023,1198604323
10,(주)이랜드크루즈,031527,031527,2078137903
11,(주)이랜드위시디자인,H60256,18060256,1198642481
12,(주)예지실업,910236,910236,1278107739
13,(주)이앤씨월드,IY9962,1903709962,1568801028
14,농업회사법인맛누리(주),H82154,18082154,4078123561
15,(주)이랜드테마파크제주,I70524,19070524,6168601109
16,(주)케이비와이즈스타제6호위탁관리부동산투자회사,J98512,21098512,2208865944
17,(주)올리브스튜디오,677681,677681,2208721181
18,(주)리드온,237339,237339,1058666432
19,(주)이랜드스포츠,L98518,23098518,1198691736
20,(주)켄싱턴월드,C43127,13043127,1048616749
21,(주)리드,024515,024515,1168136817
22,(주)와인캐슬,388463,388463,1268196603
23,(주)이랜드공덕,I69573,19069573,1078783171
24,(주)이랜드서비스,JZ4220,2103804220,2268801633
25,(주)이랜드인재원,IR8076,1902908076,5978700771
26,(주)이랜드투자일임,JX1543,2103601543,3868601585
27,(주)이에셋레저개발,HL7163,1802307163,2948600370
28,(주)이키즈랜드,JV1983,2103401983,8218101671
29,(주)켄싱턴코리아,JR7026,2102907026,1468701233
30,농업회사법인켄싱턴팜(주),LI4421,2301904421,8948601994
31,(주)글로벌스포츠,175768,175768,1058619318
