,firm,kiscode,kiscode_tf,business
0,(주)현대그린푸드,620114,620114,2118108241
1,(주)현대백화점,086512,086512,2118721455
2,(주)한섬,088102,088102,1208126337
3,(주)현대홈쇼핑,170258,170258,2118676540
4,(주)현대리바트,115873,115873,1358132239
5,(주)현대퓨처넷,191600,191600,1128131178
6,(주)에버다임,010726,010726,1078145758
7,(주)현대바이오랜드,190608,190608,3128124525
8,(주)현대캐터링시스템,I67181,19067181,1018674546
9,(주)현대엘앤씨,L91537,23091537,1048655679
10,한무쇼핑(주),612391,612391,1208101942
11,(주)현대아이티앤이,JE5402,2101505402,5968701200
12,(주)현대백화점면세점,HT6164,1803206164,8508800325
13,(주)씨엔에스푸드시스템,290695,290695,3048113764
14,(주)현대렌탈케어,HC4945,1801304945,8188700076
15,(주)현대드림투어,385853,385853,1058690908
16,(주)현대미디어,C10341,13010341,2118764212
17,한국타워크레인(주),I92078,19092078,3018621519
18,(주)현대쇼핑,955035,955035,1118131200
19,(주)현대에이앤아이,C38952,13038952,2128183656
20,(주)현대리바트엠앤에스,385399,385399,1358183965
21,(주)에버다임락툴,J10754,21010754,4028193816
22,(주)한섬라이프앤,JJ0720,2102100720,4578701282
23,(주)타이포스,F07493,16007493,3128189305
