,firm,kiscode,kiscode_tf,business
0,(주)태영건설,501662,501662,1058174543
1,(주)SBS,910856,910856,1168139357
2,(주)티와이홀딩스,LT8340,2303208340,7558101772
3,SBS미디어홀딩스(주),C07096,13007096,1178164510
4,(주)에스비에스콘텐츠허브,116059,116059,1168176255
5,(주)티에스케이워터,JH3819,2101803819,6778601176
6,(주)에스비에스에이앤티,126820,126820,1168170227
7,(주)티에스케이코퍼레이션,388578,388578,1288198738
8,(주)블루원,M15921,24015921,5058181749
9,(주)티에스케이엔지니어링,386383,386383,1348102450
10,(주)에스비에스미디어넷,165071,165071,2158193624
11,(주)디엠씨미디어,234475,234475,1208639351
12,(주)태영인더스트리,356662,356662,6108110449
13,(주)에스비에스엠앤씨,H77700,18077700,1018667119
14,(주)인제스피디움,C87253,13087253,2238111040
15,(주)문고리닷컴,C99964,13099964,1348657926
16,(주)티에스케이프리텍,353733,353733,3018177357
17,(주)에스비에스아이앤엠,IS8996,1903108996,5988800752
18,에코시스템(주),164139,164139,6098146573
19,(주)티에스케이그린에너지,H82150,18082150,4038165517
20,(주)태영그레인터미널,469330,469330,1388131490
21,(주)에스비에스네오파트너스,IS8995,1903108995,1868800807
22,(주)티에스케이이앤피,J05181,21005181,6108620388
23,스마트미디어렙(주),L85463,23085463,1058804051
24,(주)에코시티,388500,388500,4188119640
25,(주)유니시티,G52720,17052720,6098194978
26,(주)에스비에스플러스,JP7664,2102707664,4398701421
27,(주)센트로,HN1560,1802501560,2258700328
28,(주)에코시티개발,HD6740,1801406740,7298800114
29,(주)엠시에타개발,467131,467131,1408117661
30,(주)이너시티개발,IO4817,1902604817,5328800581
31,경산에코에너지(주),H68966,18068966,2158755980
32,(주)티에스케이엔워터테크,J95995,21095995,1448117741
33,스튜디오에스(주),F15478,16015478,1288647739
34,신경주역세권공영개발(주),C83859,13083859,5058154086
35,에스비에스바이아컴(유),167204,167204,1298141126
36,(주)무노스,LH5098,2301805098,6438701700
37,(주)엠시에타,467128,467128,1408117676
38,(주)리앤에스스포츠,F15477,16015477,2158737420
39,신경주지역개발(주),C83860,13083860,5058154072
40,포천바이오에너지(주),H24181,18024181,1278623087
41,(주)여수엑스포환경,F15476,16015476,1318605720
42,(주)군포복합개발피에프브이,JU6974,2103306974,8278801611
43,(주)부산바이오에너지,J20263,21020263,6078608942
44,(주)블렌딩,IM8019,1902408019,2998800549
45,(주)에스비에스디지털뉴스랩,IX1152,1903601152,3448700992
46,(주)여천이피에스,JU2147,2103302147,8228801561
47,(주)지에프앤엘,JK6732,2102206732,6888800905
48,(주)코나드,IL5389,1902305389,8568600616
49,(주)티에스케이엠엔에스,JE5625,2101505625,3948601214
50,(주)평택싸이로,IU7748,1903307748,1778800690
51,(주)포맷티스트,JJ8376,2102108376,6518701375
52,걸포도시개발자산관리(주),LG7239,2301707239,2378101954
53,네오시티(주),IQ2140,1902802140,1908800674
54,대구남부에이엠씨(주),C77629,13077629,5028196321
55,대동산업단지(주),JT1838,2103201838,2278701401
56,삼계개발(주),LB8940,2301208940,5258701528
57,양산석계에이엠씨(주),I63636,19063636,6218196262
58,양주동서도로(주),G44195,17044195,1278625751
59,창원복합행정타운개발(주),JZ1134,2103801134,7998601724
60,천안풍세산업단지개발(주),JV5848,2103405848,-
