,firm,kiscode,kiscode_tf,business
0,(주)카카오,041800,041800,1208147521
1,(주)카카오게임즈,J88973,21088973,1448118454
2,(주)카카오뱅크,HM8410,1802408410,3758800197
3,(주)카카오커머스,JJ4508,2102104508,8918800985
4,(주)엑스엘게임즈,391009,391009,1208650905
5,(주)카카오모빌리티,IQ0276,1902800276,1728600842
6,(주)카카오브이엑스,J35473,21035473,1448103460
7,(주)카카오스페이스,HE8796,1801508796,3548600070
8,(주)카카오페이지,G69732,17069732,2208802594
9,(주)카카오엠,JF7007,2101607007,2048700957
10,(주)카카오페이증권,C50360,13050360,2208766698
11,(주)스타쉽엔터테인먼트,T44752,32044752,1148665214
12,(주)프렌즈게임즈,HC5495,1801305495,5948100052
13,(주)레디엔터테인먼트,C03226,13003226,2118756819
14,(주)카카오브레인,IN2244,1902502244,2178600621
15,(주)스테이지파이브,FO4704,1602604704,7568600029
16,(주)비에이치엔터테인먼트,F55851,16055851,1048601455
17,(주)숲엔터테인먼트,H54284,18054284,2118858847
18,(주)티앤케이팩토리,H65867,18065867,1148689161
19,(주)쇼노트,772335,772335,2018193474
20,(주)야나두,F18766,16018766,1298623477
21,(주)카카오인베스트먼트,IP2361,1902702361,7568100780
22,(주)카카오벤처스,H98750,18098750,2208835402
23,(주)바람픽쳐스,IN7078,1902507078,8088700711
24,(주)케이큐브홀딩스,C15482,13015482,1298604562
25,(주)카카오페이,IP1707,1902701707,5278800686
26,(주)카카오엔터프라이즈,JT0375,2103200375,7418101531
27,(주)케이앤웍스,C68599,13068599,2018190900
28,(주)진화,F06160,16006160,2208110038
29,(주)엔플루토,C11610,13011610,1298610948
30,동고택시(주),146404,146404,1118103591
31,(주)하시스,214827,214827,1208608810
32,(주)키위플러스,L38745,23038745,1208806591
33,(주)키즈노트,I05452,19005452,1088601122
34,록앤올(주),G00324,17000324,2208799675
35,(주)파괴연구소,JQ7075,2102807075,3648601417
36,(주)손노리,L96758,23096758,2618115238
37,(주)다온크리에이티브,M03707,24003707,2618116407
38,(주)배틀엔터테인먼트,J64777,21064777,2158783263
39,(주)어썸이엔티,JD3577,2101403577,1018800989
40,(주)케이엠솔루션,JC6749,2101306749,7228700998
41,(주)인타임,L08601,23008601,1078806434
42,메가몬스터(주),M35489,24035489,1288716378
43,(주)에이윈즈,F15354,16015354,1068652678
44,(주)툰노리,J88429,21088429,1138674952
45,(주)포유키즈,E94066,15094066,1198649859
46,그레이고(주),IM7412,1902407412,2218800605
47,로고스필름(주),380684,380684,1148604478
48,(주)파트너,E82171,15082171,1228626094
49,(주)사운디스트엔터테인먼트,HU6636,1803306636,2078800574
50,엘케이엠에스리미티드(주),L37675,23037675,1048653157
51,(주)사나이픽처스,E92208,15092208,2068661782
52,(주)영화사월광,I02052,19002052,2118876393
53,(주)다음글로벌홀딩스,C16165,13016165,2148818091
54,(주)라이프엠엠오,JM7672,2102407672,5338801225
55,(주)레프트라이트,HP0023,1802700023,7568100422
56,(주)모빌,JC3860,2101303860,7418601123
57,(주)브이에이에스티,HL7584,1802307584,6188700248
58,(주)씨엠엔피,JQ6560,2102806560,3908601401
59,(주)케이엠식스,JT7227,2103207227,8428101775
60,(주)케이엠쓰리,JT7226,2103207226,8028101549
61,(주)케이엠원,JS2027,2103102027,3548801525
62,(주)케이엠투,JS2030,2103102030,5648601583
63,(주)케이엠파이브,JT7229,2103207229,5318101439
64,(주)케이엠포,JT7667,2103207667,5208601583
65,(주)플러스투퍼센트,L95583,23095583,1448128103
66,(주)그라운드원,JA8776,2101108776,3568800968
67,(주)글앤그림미디어,IM3022,1902403022,6278700669
68,(주)네오바자르,CD0750,1301400750,1448135088
69,(주)뉴런잉글리쉬,E93835,15093835,2158762176
70,(주)디케이테크인,HH9152,1801809152,6068700134
71,(주)링키지랩,HN6287,1802506287,2358800278
72,(주)메종드바하,M15863,24015863,1428178820
73,(주)삼양씨앤씨,IX0789,1903600789,8318801041
74,(주)슈퍼코믹스스튜디오,JL4930,2102304930,7568701229
75,(주)스테이지에셋,LA5529,2301105529,7788701665
76,(주)아산카카오메디컬데이터,JK6080,2102206080,3108133256
77,(주)아씨오,HO9112,1802609112,1508700359
78,(주)알에스미디어,L90053,23090053,1308693819
79,(주)애드페이지,JW5910,2103505910,6138801365
80,(주)엔글,HI2797,1801902797,3948600200
81,(주)오닉스케이,H60732,18060732,2208818529
82,(주)유캠프,JY1578,2103701578,2078701498
83,(주)이담엔터테인먼트,JW9628,2103509628,7798701692
84,(주)이앤티스토리엔터테인먼트,IX6362,1903606362,4558800945
85,(주)제이와이드컴퍼니,E93150,15093150,1208777158
86,(주)케이벤처그룹,IQ3799,1902803799,3118800795
87,(주)케이엠세븐,JV3512,2103403512,5758801442
88,(주)크래커엔터테인먼트,HP8641,1802708641,4068163838
89,(주)티제이파트너스,JQ7426,2102807426,3598601303
90,(주)티포인베스트,G24756,17024756,2118830169
91,(주)플레이엠엔터테인먼트,G46209,17046209,2118853987
92,(주)플렉스엠,JW5494,2103505494,4518101846
93,(주)픽셀허브,L56584,23056584,1448123054
94,(주)필연매니지먼트,JG0642,2101700642,7598601070
95,(주)하이라인엔터테인먼트,IV3578,1903403578,2908700851
96,비미디어컴퍼니(주),JY0491,2103700491,4558601601
97,엘케이엠에스리보험중개(주),HK1978,1802201978,4708800279
98,인바이유(주),IX1018,1903601018,6038800976
99,케이큐브임팩트(주),LT4731,2303204731,2728801728
100,(주)파킹스퀘어,J17416,21017416,1048648372
101,(주)골프앤데이타시스템,C69089,13069089,1058727606
102,(유)매디슨카운티의다리,HV8949,1803408949,5068192609
103,(주)골프와친구,F83788,16083788,1298621106
