,firm,kiscode,kiscode_tf,business
0,코오롱인더스트리(주),F03302,16003302,1388156604
1,코오롱글로벌(주),500461,500461,1208150012
2,코오롱플라스틱(주),825841,825841,5108105710
3,코오롱머티리얼(주),C04456,13004456,1388144919
4,(주)코오롱,320234,320234,2028144660
5,코오롱생명과학(주),146681,146681,1048152769
6,코오롱엘에스아이(주),HL1995,1802301995,1458700304
7,코오롱글로텍(주),325732,325732,2028144675
8,코오롱베니트(주),124312,124312,1238151422
9,코오롱제약(주),351776,351776,2148113189
10,코오롱데크컴퍼지트(주),090616,090616,1358150111
11,코오롱아우토(주),160146,160146,1268149212
12,그린나래(주),388096,388096,3128180930
13,코오롱오토모티브(주),HP3927,1802703927,1238648335
14,(주)엠오디,479692,479692,5058145966
15,코오롱바스프이노폼(주),HL9760,1802309760,5228800283
16,리베토코리아(주),IY0312,1903700312,8148701054
17,네이처브리지(주),CB8543,1301208543,1268680071
18,(주)코오롱인베스트먼트,137418,137418,2208180271
19,덕평랜드(주),372686,372686,1268172367
20,코오롱하우스비전(주),HQ4238,1802804238,1658600432
21,코오롱오토케어서비스(주),IW2092,1903502092,8978800998
22,스위트밀(주),389116,389116,2148746625
23,(주)케이에프엔티,372658,372658,6108162952
24,(주)퍼플아이오,JZ9216,2103809216,5598701569
25,천안북부일반산업단지(주),JJ0927,2102100927,4868601279
26,(주)테크비전,CD6888,1301406888,7528100022
27,(주)씨에이텍,HV9042,1803409042,3248600517
28,이노베이스(주),HM1474,1802401474,8598100298
29,코오롱에코너지(주),C06928,13006928,4108617338
30,(주)아르텍스튜디오,JX3614,2103603614,7158701626
31,더블유파트너스(주),G04419,17004419,1388164405
32,라비에벨중국복합문화타운(주),JY7808,2103707808,8648601498
33,아토메탈테크코리아(주),JB2158,2101202158,7348101004
34,코오롱이앤씨(주),M22989,24022989,2208889117
