,firmname,own,own2,type,ownername
630,에이치솔루션,,,1,
631,에이치솔루션,,,-1,
633,에이치솔루션,0.0,0.0,99,
636,한화에너지,0.0,0.0,0,
645,한화에너지,1.0,1.0,1,에이치솔루션
646,한화에너지,,,-1,
648,한화에너지,0.0,0.0,99,
651,아침태양광,0.0,0.0,0,
660,아침태양광,1.0,1.0,1,한화에너지
661,아침태양광,,,-1,
663,아침태양광,0.0,0.0,99,
666,라온태양광,0.0,0.0,0,
675,라온태양광,0.9839960320740679,0.9839960320740679,1,한화에너지
676,라온태양광,,,-1,
678,라온태양광,0.01600396792593205,0.01600396792593205,99,
681,마루태양광,0.0,0.0,0,
690,마루태양광,0.9839939536446086,0.9839939536446086,1,한화에너지
691,마루태양광,,,-1,
693,마루태양광,0.016006046355391334,0.016006046355391334,99,
696,미르태양광,0.0,0.0,0,
705,미르태양광,0.983994053518335,0.983994053518335,1,한화에너지
706,미르태양광,,,-1,
708,미르태양광,0.016005946481665013,0.016005946481665013,99,
711,소수태양광,0.0,0.0,0,
720,소수태양광,0.9839446198688365,0.9839446198688365,1,한화에너지
721,소수태양광,,,-1,
723,소수태양광,0.01605538013116347,0.01605538013116347,99,
726,수리태양광,0.0,0.0,0,
735,수리태양광,0.9839944466481555,0.9839944466481555,1,한화에너지
736,수리태양광,,,-1,
738,수리태양광,0.016005553351844507,0.016005553351844507,99,
741,아란태양광,0.0,0.0,0,
750,아란태양광,0.9840026441910428,0.9840026441910428,1,한화에너지
751,아란태양광,,,-1,
753,아란태양광,0.015997355808957198,0.015997355808957198,99,
756,대산그린에너지,0.0,0.0,0,
771,대산그린에너지,0.49,0.49,1,한화에너지
772,대산그린에너지,,,-1,
774,대산그린에너지,0.51,0.51,99,
777,원오원글로벌,0.0,0.0,0,
786,원오원글로벌,,,1,
787,원오원글로벌,0.9571555448871819,0.9571555448871819,-1,
789,원오원글로벌,0.04284445511281805,0.04284445511281805,99,
792,한화토탈,0.0,0.0,0,
807,한화토탈,0.5,0.5,1,한화종합화학
808,한화토탈,,,-1,
810,한화토탈,0.5,0.5,99,
813,에스아이티,0.0,0.0,0,
828,에스아이티,1.0,1.0,1,한화에너지
829,에스아이티,,,-1,
831,에스아이티,0.0,0.0,99,
834,에스아이티테크,0.0,0.0,0,
849,에스아이티테크,1.0,1.0,1,에스아이티
850,에스아이티테크,,,-1,
852,에스아이티테크,0.0,0.0,99,
855,한화종합화학,0.0,0.0,0,
870,한화종합화학,0.3915589284903369,0.3915589284903369,1,한화에너지
871,한화종합화학,0.3604537462109189,0.3604537462109189,1,한화솔루션
872,한화종합화학,,,-1,
874,한화종합화학,0.24798732529874418,0.24798732529874418,99,
877,한화솔라파워,0.0,0.0,0,
892,한화솔라파워,1.0,1.0,1,한화종합화학
893,한화솔라파워,,,-1,
895,한화솔라파워,0.0,0.0,99,
898,한화솔라파워글로벌,0.0,0.0,0,
913,한화솔라파워글로벌,1.0,1.0,1,한화종합화학
914,한화솔라파워글로벌,,,-1,
916,한화솔라파워글로벌,0.0,0.0,99,
919,석문호수상태양광,0.0,0.0,0,
934,석문호수상태양광,1.0,1.0,1,한화종합화학
935,석문호수상태양광,,,-1,
937,석문호수상태양광,0.0,0.0,99,
940,한화종합화학글로벌,0.0,0.0,0,
955,한화종합화학글로벌,1.0,1.0,1,한화종합화학
956,한화종합화학글로벌,,,-1,
958,한화종합화학글로벌,0.0,0.0,99,
961,해나라태양광,0.0,0.0,0,
976,해나라태양광,1.0,1.0,1,한화솔라파워
977,해나라태양광,,,-1,
979,해나라태양광,0.0,0.0,99,
982,해누리태양광,0.0,0.0,0,
997,해누리태양광,1.0,1.0,1,한화솔라파워
998,해누리태양광,,,-1,
1000,해누리태양광,0.0,0.0,99,
1003,해돋이태양광,0.0,0.0,0,
1018,해돋이태양광,1.0,1.0,1,한화솔라파워
1019,해돋이태양광,,,-1,
1021,해돋이태양광,0.0,0.0,99,
1024,티지솔라넷,0.0,0.0,0,
1039,티지솔라넷,1.0,1.0,1,한화솔라파워
1040,티지솔라넷,,,-1,
1042,티지솔라넷,0.0,0.0,99,
1045,한마을태양광,0.0,0.0,0,
1060,한마을태양광,1.0,1.0,1,한화솔라파워
1061,한마을태양광,,,-1,
1063,한마을태양광,0.0,0.0,99,
1066,한으뜸태양광,0.0,0.0,0,
1081,한으뜸태양광,1.0,1.0,1,한화솔라파워
1082,한으뜸태양광,,,-1,
1084,한으뜸태양광,0.0,0.0,99,
1087,해넘이태양광,0.0,0.0,0,
1102,해넘이태양광,1.0,1.0,1,한화솔라파워
1103,해넘이태양광,,,-1,
1105,해넘이태양광,0.0,0.0,99,
1108,드림라인쏠라파워5호,0.0,0.0,0,
1123,드림라인쏠라파워5호,1.0,1.0,1,한화솔라파워
1124,드림라인쏠라파워5호,,,-1,
1126,드림라인쏠라파워5호,0.0,0.0,99,
1129,해모둠태양광,0.0,0.0,0,
1144,해모둠태양광,0.51,0.51,1,한화솔라파워
1145,해모둠태양광,,,-1,
1147,해모둠태양광,0.49,0.49,99,
1150,한화에어로스페이스,0.0,0.0010154651392455067,0,
1176,한화에어로스페이스,0.3395142998222398,0.3395142998222398,1,한화
1177,한화에어로스페이스,,,-1,
1179,한화에어로스페이스,0.6594702350385148,0.6594702350385148,99,
1182,한화시스템,0.0,0.0013259592143868783,0,
1196,한화시스템,0.48988305756591316,0.48988305756591316,1,한화에어로스페이스
1197,한화시스템,0.13413315632951273,0.13413315632951273,1,에이치솔루션
1198,한화시스템,,,-1,
1200,한화시스템,0.37465782689018723,0.37465782689018723,99,
1203,한화디펜스,0.0,0.0,0,
1218,한화디펜스,1.0,1.0,1,한화에어로스페이스
1219,한화디펜스,,,-1,
1221,한화디펜스,0.0,0.0,99,
1224,한화정밀기계,0.0,0.0,0,
1239,한화정밀기계,1.0,1.0,1,한화에어로스페이스
1240,한화정밀기계,,,-1,
1242,한화정밀기계,0.0,0.0,99,
1245,한화파워시스템,0.0,0.0,0,
1260,한화파워시스템,1.0,1.0,1,한화에어로스페이스
1261,한화파워시스템,,,-1,
1263,한화파워시스템,0.0,0.0,99,
1266,한화테크윈,0.0,0.0,0,
1278,한화테크윈,1.0,1.0,1,한화에어로스페이스
1279,한화테크윈,,,-1,
1281,한화테크윈,0.0,0.0,99,
1284,캐스,0.0,0.0,0,
1299,캐스,1.0,1.0,1,한화에어로스페이스
1300,캐스,,,-1,
1302,캐스,0.0,0.0,99,
1305,데이터애널리틱스랩,0.0,0.0,0,
1320,데이터애널리틱스랩,1.0,1.0,1,한화투자증권
1321,데이터애널리틱스랩,,,-1,
1323,데이터애널리틱스랩,0.0,0.0,99,
1326,한화육삼시티,0.0,0.0,0,
1341,한화육삼시티,1.0,1.0,1,한화생명보험
1342,한화육삼시티,,,-1,
