,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,동일인과의 관계3,divisor,shares
23,비금융회사,케이티이엔지코어,동일인측,계열회사,케이티에스테이트,940000,40.17%,-,-,940000.0,40.17%,계열회사,2340000.0,0.4017094017094017
24,비금융회사,케이티이엔지코어,동일인측,동일인 측 합계,동일인 측 합계,2340000,100.00%,-,-,2340000.0,100.00%,동일인 측 합계,2340000.0,1.0
25,비금융회사,케이티이엔지코어,기타주주,기타,기타,-,-,-,-,,-,기타,2340000.0,
26,비금융회사,케이티이엔지코어,총계,총계,총계,2340000,100.00%,-,-,2340000.0,100.00%,총계,2340000.0,1.0
27,비금융회사,케이티디에스,동일인측,동일인,케이티,2400000,95.31%,-,-,2400000.0,91.05%,동일인,2635797.0,0.9105405310044742
28,비금융회사,케이티디에스,동일인측,등기된 임원,우정민,213,0.01%,197,0.17%,410.0,0.02%,등기된 임원,2635797.0,0.00015555067404659766
29,비금융회사,케이티디에스,동일인측,자기주식,케이티디에스,4260,0.17%,4682,3.98%,8942.0,0.34%,자기주식,2635797.0,0.0033925222617675033
30,비금융회사,케이티디에스,동일인측,동일인 측 합계,동일인 측 합계,2404473,95.49%,4879,4.14%,2409352.0,91.41%,동일인 측 합계,2635797.0,0.9140886039402882
31,비금융회사,케이티디에스,기타주주,기타,기타,113571,4.51%,112874,95.86%,226445.0,8.59%,기타,2635797.0,0.08591139605971174
32,비금융회사,케이티디에스,총계,총계,총계,2518044,100.00%,117753,100%,2635797.0,100.00%,총계,2635797.0,1.0
33,비금융회사,지니뮤직,동일인측,동일인,케이티,20904514,35.97%,-,-,20904514.0,35.97%,동일인,58115438.0,0.3597067271522586
34,비금융회사,지니뮤직,동일인측,자기주식,지니뮤직,368478,0.63%,-,-,368478.0,0.63%,자기주식,58115438.0,0.006340449503280006
35,비금융회사,지니뮤직,동일인측,동일인 측 합계,동일인 측 합계,21272992,36.60%,-,-,21272992.0,36.60%,동일인 측 합계,58115438.0,0.3660471766555386
36,비금융회사,지니뮤직,기타주주,기타,기타,36842446,63.40%,-,-,36842446.0,63.40%,기타,58115438.0,0.6339528233444615
37,비금융회사,지니뮤직,총계,총계,총계,58115438,100.00%,-,-,58115438.0,100.00%,총계,58115438.0,1.0
38,비금융회사,케이티서브마린,동일인측,동일인,케이티,8085000,36.92%,-,-,8085000.0,36.92%,동일인,21900000.0,0.36917808219178083
39,비금융회사,케이티서브마린,동일인측,자기주식,케이티서브마린,1345875,6.15%,-,-,1345875.0,6.15%,자기주식,21900000.0,0.0614554794520548
40,비금융회사,케이티서브마린,동일인측,동일인측 합계,동일인측 합계,9430875,43.06%,-,-,9430875.0,43.06%,동일인측 합계,21900000.0,0.4306335616438356
41,비금융회사,케이티서브마린,기타주주,기타,기타,12469125,56.94%,-,-,12469125.0,56.94%,기타,21900000.0,0.5693664383561644
42,비금융회사,케이티서브마린,총계,총계,총계,21900000,100.00%,-,-,21900000.0,100.00%,총계,21900000.0,1.0
43,비금융회사,케이티아이에스,동일인측,동일인,케이티,10196190,29.30%,-,-,10196190.0,29.30%,동일인,34802000.0,0.29297712775127865
