,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,대우조선해양,동일인측,등기된 임원,최용석,11,0.00%,-,-,11.0,0.00%
1,비금융회사,대우조선해양,동일인측,등기된 임원,권민철,148,0.00%,-,-,148.0,0.00%
2,비금융회사,대우조선해양,동일인측,등기된 임원,유은진,15,0.00%,-,-,15.0,0.00%
3,비금융회사,대우조선해양,동일인측,등기된 임원,이상엽,110,0.00%,-,-,110.0,0.00%
4,비금융회사,대우조선해양,동일인측,등기된 임원,강석흔,74,0.00%,-,-,74.0,0.00%
5,비금융회사,대우조선해양,동일인측,등기된 임원,이정호,1,0.00%,-,-,1.0,0.00%
6,비금융회사,대우조선해양,동일인측,등기된 임원,김훈주,307,0.00%,-,-,307.0,0.00%
7,비금융회사,대우조선해양,동일인측,등기된 임원,박용덕,50,0.00%,-,-,50.0,0.00%
8,비금융회사,대우조선해양,동일인측,등기된 임원,정선영,469,0.00%,-,-,469.0,0.00%
9,비금융회사,대우조선해양,동일인측,자기주식,대우조선해양,16207,0.02%,-,-,16207.0,0.02%
10,비금융회사,대우조선해양,동일인측,동일인측 합계,/,17392,0.02%,-,-,17392.0,0.02%
11,비금융회사,대우조선해양,기타주주,동일인측이 아닌최다주주,한국산업은행,59738211,55.72%,-,-,59738211.0,55.72%
12,비금융회사,대우조선해양,기타주주,기타,/,47450149,44.26%,-,-,47450149.0,44.26%
13,비금융회사,대우조선해양,총 계,총 계,/,107205752,100.00%,-,-,107205752.0,100.00%
14,비금융회사,대한조선,동일인측,동일인,대우조선해양,4415777,67.71%,-,-,4415777.0,67.71%
15,비금융회사,대한조선,동일인측,동일인측 합계,/,4415777,67.71%,-,-,4415777.0,67.71%
16,비금융회사,대한조선,기타주주,동일인측이 아닌최다주주,-,-,-,-,-,,-
17,비금융회사,대한조선,기타주주,기타,/,2105705,32.29%,-,-,2105705.0,32.29%
18,비금융회사,대한조선,총 계,총 계,/,6521482,100.00%,-,-,6521482.0,100.00%
19,비금융회사,디에스엠이정보시스템,동일인측,동일인,대우조선해양,40000,100.00%,-,-,40000.0,100.00%
20,비금융회사,디에스엠이정보시스템,동일인측,동일인측 합계,/,40000,100.00%,-,-,40000.0,100.00%
21,비금융회사,디에스엠이정보시스템,총 계,총 계,/,40000,100.00%,-,-,40000.0,100.00%
22,비금융회사,삼우중공업,동일인측,동일인,대우조선해양,8382045,100.00,-,-,8382045.0,100.00
23,비금융회사,삼우중공업,동일인측,동일인측 합계,/,8382045,100.00,-,-,8382045.0,100.00
24,비금융회사,삼우중공업,총 계,총 계,/,8382045,100.00%,-,-,8382045.0,100.00%
25,비금융회사,신한중공업,동일인측,동일인,대우조선해양,1374485,89.22%,-,-,1374485.0,89.22%
26,비금융회사,신한중공업,동일인측,동일인측 합계,/,1374485,89.22%,-,-,1374485.0,89.22%
27,비금융회사,신한중공업,기타주주,동일인측이 아닌최다주주,-,-,-,-,-,,-
28,비금융회사,신한중공업,기타주주,기타,참엔지니어링,95000,6.17%,-,-,95000.0,6.17%
29,비금융회사,신한중공업,기타주주,기타,중소기업진흥공단,70000,4.54%,-,-,70000.0,4.54%
30,비금융회사,신한중공업,기타주주,기타,청구조선공업,709,0.05%,-,-,709.0,0.05%
31,비금융회사,신한중공업,기타주주,기타,김경준,396,0.02%,-,-,396.0,0.02%
32,비금융회사,신한중공업,총 계,총 계,/,1540590,100.00%,-,-,1540590.0,100.00%
